N	3gram	Nazirov_Tv_2	KulturaY
1	и т п	2	41
2	в самом деле	2	11
3	можно было бы	1	10
4	до сих пор	3	8
5	в том что	2	8
6	и т д	11	8
7	той или иной	1	5
8	и в этом	1	4
9	в связи с	1	4
10	того или иного	1	3
11	сих пор еще	1	3
12	а с другой	1	3
13	в первую очередь	1	3
14	с другой стороны	2	3
15	не может быть	3	3
16	так и в	2	3
17	о том что	2	3
18	русской классической литературы	1	2
19	по отношению к	3	2
20	в том числе	1	2
21	в таком случае	2	2
22	на точку зрения	1	2
23	в отличие от	2	2
24	при этом что	1	2
25	только то что	1	2
26	в известном смысле	1	2
27	потому что в	1	2
28	не могут быть	1	2
29	то или иное	1	2
30	к тому же	1	2
31	если он не	1	1
32	на этот вопрос	2	1
33	хотя и не	1	1
34	в своей известной	1	1
35	рядом с ними	1	1
36	в целом ряде	1	1
37	в чем же	1	1
38	о том чтобы	1	1
39	т д и	1	1
40	в одной из	2	1
41	все же что	1	1
42	и не может	2	1
43	и в то	2	1
44	это еще не	1	1
45	в другом месте	1	1
46	а может быть	1	1
47	в обнаженном виде	1	1
48	и если бы	1	1
49	по крайней мере	2	1
50	имеет в виду	1	1
51	не то что	1	1
52	в известной мере	2	1
53	войне и мире	1	1
54	в то время	1	1
55	на наших глазах	1	1
56	так же как	2	1
57	не зависит от	1	1
58	не только для	1	1
59	ведь в этом	1	1
60	это не значит	1	1
61	т д такое	1	1
62	во всяком случае	2	1
63	целом ряде случаев	1	1
64	на той же	1	1
65	отнюдь не означает	1	1
66	то же время	7	1
67	д и т	1	1
68	мы не можем	1	1
69	как и всякая	1	1
70	том смысле что	1	1
71	в свою очередь	1	1
72	в конечном счете	1	1
73	и прежде всего	1	1
74	еще ничего не	1	1
75	мы говорим о	1	1
76	в то же	7	1
77	в одном из	2	1
78	в том смысле	1	1
79	наглядное представление о	1	1
80	что вообще в	1	1
81	крайней мере уже	1	1
82	именно потому что	1	1
