N	2gram	Losev_Dial_2	Sotsiolo
1	все это	4	7
2	в том	14	5
3	в этом	8	5
4	и только	4	3
5	как же	3	3
6	не только	19	3
7	и в	19	3
8	но ведь	2	3
9	не в	8	3
10	в его	1	3
11	за пределы	4	2
12	их между	1	2
13	как только	3	2
14	но и	12	2
15	конце концов	1	2
16	и мы	3	2
17	было бы	3	2
18	к которому	1	2
19	в смысле	5	2
20	должна быть	5	2
21	только в	5	2
22	дело не	2	2
23	далеко не	1	2
24	в результате	2	2
25	тем более	1	2
26	том что	10	2
27	в частности	2	2
28	как будто	7	2
29	то что	14	2
30	главным образом	1	2
31	или даже	1	2
32	и что	5	2
33	литературы и	1	2
34	еще не	4	2
35	только как	3	2
36	ведь это	3	2
37	таким образом	4	2
38	это и	3	2
39	в конце	2	2
40	что в	7	2
41	может быть	20	2
42	как бы	14	2
43	очевидно что	2	2
44	по существу	1	2
45	то же	12	2
46	крайней мере	9	1
47	тотчас же	1	1
48	что все	1	1
49	я и	2	1
50	же не	3	1
51	опираясь на	1	1
52	наконец в	1	1
53	по себе	18	1
54	даже в	3	1
55	сама по	7	1
56	в мире	2	1
57	эти вопросы	3	1
58	сказать и	1	1
59	в этой	3	1
60	тому что	2	1
61	отнюдь не	6	1
62	более не	1	1
63	эти два	2	1
64	даже не	1	1
65	на все	2	1
66	ибо по	1	1
67	с другой	5	1
68	его в	3	1
69	дает нам	1	1
70	что личность	2	1
71	только для	1	1
72	с ним	4	1
73	это не	10	1
74	новые и	2	1
75	именно в	2	1
76	в чем	3	1
77	же по	1	1
78	все же	4	1
79	и есть	4	1
80	перед нами	2	1
81	в то	6	1
82	тем же	2	1
83	это дает	1	1
84	еще и	1	1
85	только то	4	1
86	том как	2	1
87	тем что	2	1
88	и как	10	1
89	что эти	2	1
90	на ней	1	1
91	что он	6	1
92	тогда и	1	1
93	прежде всего	8	1
94	как живой	1	1
95	в них	1	1
96	так и	10	1
97	не было	3	1
98	одной стороны	1	1
99	те же	1	1
100	но только	3	1
101	и не	30	1
102	в любой	2	1
103	это вовсе	2	1
104	из себя	1	1
105	никогда не	9	1
106	зависит от	2	1
107	именно такого	1	1
108	мы не	1	1
109	это как	3	1
110	со своими	1	1
111	же время	5	1
112	ничего не	3	1
113	между собою	3	1
114	мы еще	1	1
115	развития и	1	1
116	не мешает	5	1
117	и о	1	1
118	все эти	2	1
119	это же	1	1
120	обходится без	1	1
121	именно на	1	1
122	как и	10	1
123	или нет	3	1
124	без этого	4	1
125	мы должны	2	1
126	остается в	1	1
127	в сущности	2	1
128	и никакая	1	1
129	но она	1	1
130	против этого	1	1
131	образом в	1	1
132	конечно не	6	1
133	в связи	4	1
134	только поэзия	1	1
135	на первый	1	1
136	иначе и	2	1
137	и его	5	1
138	в этих	3	1
139	связи с	4	1
140	или не	2	1
141	хотя бы	4	1
142	вступает в	1	1
143	в целом	1	1
144	стало быть	10	1
145	не может	9	1
146	в своей	8	1
147	только тогда	7	1
148	и должно	2	1
149	не от	1	1
150	а в	4	1
151	самому существу	1	1
152	что она	14	1
153	о том	5	1
154	по самому	1	1
155	именно и	1	1
156	в области	2	1
157	и потому	5	1
158	же это	4	1
159	представить себе	1	1
160	больше того	1	1
161	в котором	1	1
162	из тех	1	1
163	существу своему	1	1
164	на что	1	1
165	два или	1	1
166	все то	1	1
167	может не	4	1
168	время в	1	1
169	всяком случае	2	1
170	и понимает	1	1
171	когда мы	3	1
172	в силу	5	1
173	слишком много	1	1
174	мы понимаем	1	1
175	ни на	2	1
176	не без	1	1
177	что это	10	1
178	вовсе не	13	1
179	доказательством этого	1	1
180	же самое	2	1
181	с одной	2	1
182	но не	6	1
183	у него	1	1
184	в виде	2	1
185	в данном	3	1
186	между тем	2	1
187	но как	5	1
188	и по	4	1
189	что на	2	1
190	по крайней	9	1
191	можно принять	1	1
192	и более	3	1
193	и стало	5	1
194	том и	1	1
195	во всяком	2	1
196	в каждом	2	1
197	они не	3	1
198	это значит	8	1
