N	3gram	Bakhtin_sl_2	TeoriaLi
1	по отношению к	4	8
2	в отличие от	12	7
3	в том что	4	6
4	то же время	4	6
5	в то же	4	6
6	того или иного	1	5
7	более или менее	2	4
8	с другой стороны	1	3
9	тем не менее	1	3
10	в свою очередь	2	3
11	той или иной	5	3
12	с точки зрения	3	2
13	с одной стороны	5	2
14	в нашем случае	1	2
15	не только не	1	2
16	тех или иных	1	2
17	сама по себе	3	2
18	не может быть	15	2
19	как и в	1	2
20	точки зрения и	1	1
21	но прежде всего	2	1
22	и в сущности	2	1
23	том что в	1	1
24	в той или	3	1
25	а не с	1	1
26	по ту сторону	1	1
27	в том числе	1	1
28	в этом случае	6	1
29	со всех сторон	1	1
30	в целом ряде	1	1
31	и в то	1	1
32	что он не	1	1
33	том числе и	1	1
34	перед нами не	1	1
35	может быть и	2	1
36	до известной степени	1	1
37	в значительной степени	6	1
38	как в поэзии	1	1
39	за ним всегда	1	1
40	в основе его	2	1
41	по себе еще	1	1
42	это возможно в	1	1
43	в отношении к	4	1
44	и в пределах	1	1
45	героев и их	1	1
46	не могут быть	2	1
47	в евгении онегине	1	1
48	шире и глубже	1	1
49	в связи с	2	1
50	однако при этом	1	1
51	поэтического слова в	1	1
52	чужой речи и	1	1
53	тем или иным	1	1
54	с его внешними	1	1
55	а в том	1	1
56	не менее чем	1	1
57	становления мира в	1	1
58	говорящего и его	1	1
59	при этом и	1	1
60	в истории литературы	2	1
61	о том что	1	1
62	включает в себя	2	1
63	но в то	3	1
64	иметь место в	1	1
65	в этих случаях	1	1
66	в большинстве случаев	5	1
67	для того чтобы	2	1
68	том что он	1	1
69	человека и его	2	1
70	по себе а	1	1
71	он не только	1	1
72	отношении к нему	1	1
