N	2gram	Vygotskiy__5	IolandNe
1	и с	2	3
2	должен быть	2	2
3	и не	6	2
4	в этом	14	2
5	он не	3	2
6	что в	24	2
7	ничего не	2	2
8	бы что	1	2
9	себя в	1	1
10	что ленский	1	1
11	все это	2	1
12	автор не	1	1
13	и др	1	1
14	каждый исследователь	1	1
15	и тот	1	1
16	и в	30	1
17	только что	4	1
18	и о	3	1
19	в эту	1	1
20	бы в	5	1
21	как только	4	1
22	стало быть	1	1
23	того же	2	1
24	значительной мере	1	1
25	с другой	9	1
26	и та	2	1
27	а в	4	1
28	вплоть до	1	1
29	доказать что	1	1
30	того что	8	1
31	в художественном	1	1
32	стороны он	2	1
33	не дает	2	1
34	следовательно в	1	1
35	своего исследования	1	1
36	в руки	1	1
37	всю трагедию	2	1
38	на котором	1	1
39	а с	5	1
40	другой стороны	5	1
41	утверждает что	2	1
42	с героем	2	1
43	не так	1	1
44	для него	3	1
45	доказательство того	1	1
46	в основе	7	1
47	что для	1	1
48	что при	3	1
49	в значительной	1	1
50	могло бы	1	1
51	слишком много	1	1
52	есть только	2	1
53	отношению к	1	1
54	ненависть к	1	1
55	так и	3	1
56	бы его	2	1
57	от этого	1	1
58	произведения и	1	1
59	того чтобы	20	1
60	братья карамазовы	1	1
61	за границей	1	1
62	во многом	1	1
63	никогда не	9	1
64	следующим образом	2	1
65	только для	1	1
66	не смерть	1	1
67	жизни и	6	1
68	и очень	1	1
69	для других	1	1
70	тем что	6	1
71	в целом	5	1
72	по поводу	3	1
73	точно и	1	1
74	по отношению	2	1
75	очевидно что	2	1
76	в них	4	1
77	все эти	2	1
78	но когда	1	1
79	по существу	2	1
80	от нее	1	1
81	если бы	11	1
82	для того	20	1
