N	3gram	Medvedev_F_3	VLabPisa
1	и т д	6	15
2	в этом отношении	3	13
3	и т п	5	9
4	с другой стороны	5	8
5	не может быть	14	8
6	по отношению к	3	7
7	в то же	7	5
8	хотя бы и	1	5
9	то же время	7	5
10	в зависимости от	5	5
11	можно сказать что	1	4
12	в связи с	4	4
13	в том что	3	4
14	в художественном произведении	3	4
15	равно как и	2	4
16	о том что	1	3
17	о том как	2	3
18	и в то	2	3
19	мы видели что	2	3
20	можно утверждать что	1	3
21	в процессе художественного	1	3
22	к тому что	2	3
23	вот что говорит	1	3
24	вместе с тем	3	3
25	в своем творчестве	1	3
26	подобно тому как	4	2
27	с одной стороны	1	2
28	каждой из этих	1	2
29	лишь в пределах	1	2
30	в том числе	1	2
31	не только не	2	2
32	от того что	1	2
33	в конце концов	2	2
34	действительности и ее	1	2
35	до сих пор	1	2
36	в частности в	1	2
37	и не может	4	2
38	этой точки зрения	1	2
39	можно было бы	1	2
40	и через это	1	2
41	нет никаких оснований	1	2
42	так и от	2	2
43	для того чтобы	4	2
44	только то что	2	2
45	том числе и	1	2
46	во всяком случае	6	2
47	в этом же	1	1
48	он и не	1	1
49	в ином контексте	1	1
50	мы полагаем что	1	1
51	в том же	1	1
52	в таком случае	1	1
53	в этом смысле	2	1
54	в художественное произведение	2	1
55	лежит в основе	1	1
56	в искусстве и	1	1
57	так или иначе	1	1
58	т е от	1	1
59	не материал а	1	1
60	что ни одна	1	1
61	искусстве и в	1	1
62	том или ином	1	1
63	художественного творчества и	1	1
64	и художественное произведение	2	1
65	в этом заключается	1	1
66	содержания и формы	1	1
67	произведения и его	1	1
68	говорит об этом	1	1
69	это только материал	1	1
70	и в искусстве	1	1
71	от всех других	2	1
72	становится в искусстве	1	1
73	художественного произведения не	1	1
74	и никогда не	1	1
75	в нем уже	1	1
76	говорит о том	1	1
77	т е в	1	1
78	того обстоятельства что	1	1
79	и вместе с	1	1
80	в противном случае	1	1
81	иметь в виду	1	1
82	в виду именно	1	1
83	имеем в виду	1	1
84	в слове произведения	1	1
85	точки зрения на	1	1
86	данного человека и	1	1
87	по себе в	1	1
88	то же самое	3	1
89	тот или иной	1	1
90	сама по себе	1	1
91	т е не	1	1
92	того или иного	1	1
93	совершенно очевидно что	1	1
94	может быть принята	1	1
95	что в процессе	1	1
96	не могло бы	1	1
97	одним из элементов	1	1
98	как мы знаем	4	1
99	все то что	1	1
100	дело не в	2	1
101	нет бессодержательной формы	1	1
102	не только в	1	1
103	то или иное	2	1
104	сами по себе	2	1
105	той или иной	1	1
106	никак не могут	1	1
107	числе и художественное	1	1
108	одна из них	1	1
109	в самом деле	4	1
110	именно в этом	1	1
111	в процессе этого	2	1
112	и по отношению	1	1
113	сказать что ни	1	1
114	со всех сторон	1	1
115	в том или	1	1
116	между собою в	1	1
117	нет и не	2	1
118	мы знаем не	1	1
119	вместе с этим	1	1
120	когда говорят о	1	1
121	выводам приводит и	1	1
122	может быть никакого	1	1
123	другой стороны в	1	1
124	материала в зависимости	1	1
125	произведения так и	2	1
126	понимать творчество как	1	1
127	так же как	1	1
128	как и все	2	1
129	а не только	1	1
130	а вместе с	1	1
131	не в том	1	1
132	никогда не может	1	1
133	ту или иную	1	1
134	это происходит в	1	1
135	три года в	1	1
136	в данном случае	4	1
137	с этой точки	1	1
138	хотя и не	1	1
139	и сводится к	1	1
140	как это происходит	1	1
