N	3gram	Vinokur_St_2	EvropaiC
1	в том что	16	16
2	до сих пор	5	12
3	по отношению к	1	10
4	с точки зрения	2	8
5	а между тем	1	7
6	на самом деле	1	7
7	более или менее	2	7
8	на то что	2	7
9	для того чтобы	5	6
10	в самом деле	2	5
11	по сравнению с	1	5
12	в этом случае	1	4
13	совершенно так же	2	4
14	к тому же	2	4
15	с другой стороны	3	4
16	о том что	11	4
17	тот факт что	4	4
18	тем не менее	2	4
19	в конце концов	1	4
20	в настоящее время	1	3
21	в том же	2	3
22	так же как	3	3
23	в данном случае	1	3
24	так или иначе	1	3
25	в связи с	1	3
26	таким образом в	1	3
27	заключается в том	1	3
28	том что он	5	2
29	что же касается	1	2
30	принять во внимание	2	2
31	ответить на вопрос	1	2
32	бы то ни	2	2
33	он не может	1	2
34	то же время	1	2
35	вместе с тем	5	2
36	из того же	1	2
37	то ни было	2	2
38	друг к другу	1	2
39	во всяком случае	3	2
40	в свою очередь	1	2
41	ничего общего с	1	2
42	но все же	2	2
43	в то же	1	2
44	и в том	1	2
45	к тому времени	2	1
46	о том кто	1	1
47	или лучше сказать	2	1
48	не только по	2	1
49	и то же	1	1
50	иметь в виду	3	1
51	дело в том	4	1
52	и для самого	1	1
53	не говоря уже	1	1
54	не только с	2	1
55	при помощи этой	1	1
56	так что в	1	1
57	что и для	1	1
58	и тому же	1	1
59	на своем пути	1	1
60	между тем в	1	1
61	говоря уже о	1	1
62	в зависимости от	1	1
63	за то что	2	1
64	точно так же	1	1
65	и в ту	1	1
66	тогда как у	1	1
67	одно и то	1	1
68	для борьбы с	1	1
69	то обстоятельство что	4	1
70	а как бы	1	1
71	во внимание что	1	1
72	уже о том	1	1
73	в ту же	1	1
74	того что именно	1	1
75	в высшей степени	1	1
76	том же духе	1	1
77	должна была бы	1	1
78	мы видели выше	1	1
79	по одному и	1	1
80	как и вообще	1	1
81	к одному из	1	1
82	не в том	2	1
83	что он сам	1	1
84	как будто должно	1	1
85	которые больше всего	1	1
86	но именно в	1	1
87	к концу этого	1	1
88	но и с	2	1
89	но вместе с	1	1
90	что у него	1	1
91	я не могу	1	1
92	отсюда как будто	1	1
93	вместо того чтобы	1	1
94	и проч все	1	1
95	в один общий	1	1
96	малейшего намека на	1	1
97	в виду следующие	1	1
98	различия в этом	1	1
99	в начале своей	1	1
100	в то время	1	1
101	как бы ни	1	1
102	и что следовательно	1	1
103	и все это	1	1
104	с самого начала	3	1
105	не только не	2	1
106	по его мнению	1	1
107	самого себя и	1	1
108	в том числе	1	1
109	к тому что	5	1
110	как мы видели	1	1
111	этот вопрос в	1	1
112	но с этим	1	1
113	в народных массах	1	1
114	надо иметь в	1	1
115	одному и тому	1	1
116	как бы он	1	1
117	и в другом	1	1
