N	3gram	Bakhtin_sl_2	Dialekti
1	и т д	2	15
2	с точки зрения	3	8
3	сама по себе	3	7
4	в том что	4	6
5	и не только	1	5
6	в связи с	2	4
7	то же время	4	4
8	о том что	1	4
9	с другой стороны	1	4
10	и может быть	1	3
11	не может не	1	3
12	сами по себе	1	3
13	в то же	4	3
14	может быть и	2	3
15	не может быть	15	3
16	вовсе не в	1	3
17	в той или	3	2
18	иметь в виду	1	2
19	более или менее	2	2
20	как это было	1	2
21	до сих пор	2	2
22	в зависимости от	4	2
23	и т п	33	2
24	может быть только	1	2
25	не только в	2	2
26	вовсе не обязательно	1	2
27	тем не менее	1	2
28	не могут быть	2	2
29	это не значит	1	2
30	во всяком случае	2	2
31	в широком смысле	1	2
32	с самого начала	1	2
33	том что она	1	1
34	точки зрения и	1	1
35	том что в	1	1
36	это не может	1	1
37	образ может быть	1	1
38	мы говорим о	1	1
39	онегин у пушкина	1	1
40	входить в рассмотрение	1	1
41	самого по себе	1	1
42	не только о	2	1
43	и в смысле	1	1
44	мы уже сказали	1	1
45	большей или меньшей	1	1
46	она или прямо	1	1
47	и даже не	1	1
48	выйти за пределы	1	1
49	уже не в	1	1
50	одной стороны и	3	1
51	только в смысле	1	1
52	и не может	1	1
53	и в то	1	1
54	значение может иметь	1	1
55	связанные с этим	1	1
56	но и в	1	1
57	в этом отношении	3	1
58	может быть конечно	1	1
59	но всегда и	1	1
60	бы она ни	1	1
61	со всех сторон	1	1
62	бы и не	1	1
63	порождать из себя	1	1
64	с одной стороны	5	1
65	как бы только	1	1
66	все более и	1	1
67	общения с ним	1	1
68	в нем не	1	1
69	мы уже говорили	1	1
70	есть не только	1	1
71	необходимо иметь в	1	1
72	представить себе как	1	1
73	печорин у лермонтова	1	1
74	не было у	1	1
75	а не только	1	1
76	именно в том	1	1
77	жизни и в	1	1
78	того или иного	1	1
79	все это не	1	1
80	только начинается это	1	1
81	это и не	1	1
82	мы можем сказать	1	1
83	тем и другим	1	1
84	более и более	1	1
85	как миф в	1	1
86	той или иной	5	1
87	речь идет о	1	1
88	не менее в	1	1
89	но все же	4	1
90	может и не	1	1
91	в другом случае	1	1
92	как мы уже	2	1
93	новый смысл и	1	1
94	и в нем	1	1
95	том что он	1	1
96	она не может	1	1
97	по себе а	1	1
