N	3gram	Berdyaev_O_1	Marksizm
1	не может быть	2	13
2	в самом деле	1	9
3	и не может	1	9
4	для того чтобы	3	3
5	в том что	1	3
6	в этом отношении	1	3
7	не могут быть	2	2
8	во всяком случае	1	2
9	и прежде всего	1	2
10	между этими двумя	1	2
11	от того что	1	2
12	смысле этого слова	1	2
13	как и все	2	2
14	в нем нет	3	2
15	подойти к этой	1	1
16	там и здесь	1	1
17	нем нет ничего	1	1
18	того чтобы сделать	1	1
19	друг с другом	1	1
20	и вопрос о	1	1
21	раскрывается до конца	1	1
22	она и не	1	1
23	каждом из них	1	1
24	он ни был	1	1
25	он сам и	1	1
26	и там и	1	1
27	с тем что	2	1
28	по природе своей	1	1
29	вместо того чтобы	1	1
30	ни к каким	1	1
31	и есть та	1	1
32	и в самом	1	1
33	которым можно было	1	1
34	прежде всего в	1	1
35	но и в	2	1
36	а не в	2	1
37	этой речи и	1	1
38	а не только	1	1
39	само по себе	1	1
