N	3gram	Savitsky_P_1	RusskieA
1	в том что	4	18
2	для того чтобы	1	6
3	и т д	1	5
4	так же как	1	4
5	вместе с тем	1	4
6	в отличие от	1	3
7	в xix в	1	3
8	не может быть	1	3
9	с одной стороны	3	2
10	во многих случаях	1	2
11	мы не будем	1	2
12	же в этой	1	1
13	том что в	1	1
14	тем и другим	1	1
15	и в этом	1	1
16	и еще в	1	1
17	собою как бы	1	1
18	тем более что	1	1
19	не связаны с	1	1
20	в настоящее время	1	1
21	более или менее	1	1
22	в применении к	1	1
23	и другие народы	1	1
24	как одна из	1	1
25	далеко не все	1	1
26	но и в	2	1
27	во всяком случае	1	1
28	с другой стороны	1	1
29	главным образом на	1	1
30	не только как	1	1
