N	4gram	Vinokur_Vv_1	EvropaiE
1	в то же время	5	14
2	с одной стороны и	3	6
3	с этой точки зрения	1	5
4	бы то ни было	1	4
5	и в этом смысле	1	2
6	можно сказать что в	1	2
7	но в то же	3	2
8	заключается в том что	2	2
9	дело в том что	2	1
10	которая как мы видели	1	1
11	одного и того же	2	1
12	в том что обе	1	1
13	тех или иных областей	1	1
14	и для того чтобы	1	1
15	и прежде всего в	1	1
16	в связи с этим	1	1
17	то же время в	1	1
18	не только в том	1	1
19	на то или иное	1	1
20	в большей или меньшей	1	1
21	на этот вопрос мы	1	1
22	ответить на этот вопрос	1	1
23	не говоря уже о	1	1
24	большей или меньшей степени	1	1
