N	3gram	Vinokur_Ku_3	Tvorches
1	и т д	8	11
2	то же время	1	7
3	в то же	1	7
4	по отношению к	2	3
5	до сих пор	8	3
6	не может быть	3	3
7	в самом деле	11	2
8	в одной из	1	2
9	и не может	1	2
10	в таком случае	2	2
11	и в то	1	2
12	в отличие от	2	2
13	на этот вопрос	1	2
14	по крайней мере	1	2
15	в известной мере	1	2
16	так же как	1	2
17	во всяком случае	1	2
18	с другой стороны	3	2
19	так и в	3	2
20	и т п	41	2
21	о том что	3	2
22	в одном из	1	2
23	в том что	8	2
24	в другом месте	1	1
25	если он не	1	1
26	хотя и не	1	1
27	в своей известной	1	1
28	рядом с ними	1	1
29	потому что в	2	1
30	русской классической литературы	2	1
31	в том числе	2	1
32	что вообще в	1	1
33	т д и	1	1
34	сих пор еще	3	1
35	имеет в виду	1	1
36	на точку зрения	2	1
37	крайней мере уже	1	1
38	в первую очередь	3	1
39	а может быть	1	1
40	в обнаженном виде	1	1
41	можно было бы	10	1
42	то или иное	2	1
43	не то что	1	1
44	в том смысле	1	1
45	на наших глазах	1	1
46	только то что	2	1
47	войне и мире	1	1
48	еще ничего не	1	1
49	не зависит от	1	1
50	в чем же	1	1
51	в известном смысле	2	1
52	и в этом	4	1
53	не могут быть	2	1
54	а с другой	3	1
55	не только для	1	1
56	в свою очередь	1	1
57	той или иной	5	1
58	в связи с	4	1
59	это не значит	1	1
60	ведь в этом	1	1
61	к тому же	2	1
62	в целом ряде	1	1
63	т д такое	1	1
64	целом ряде случаев	1	1
65	на той же	1	1
66	в то время	1	1
67	того или иного	3	1
68	все же что	1	1
69	отнюдь не означает	1	1
70	это еще не	1	1
71	д и т	1	1
72	мы не можем	1	1
73	как и всякая	1	1
74	том смысле что	1	1
75	и если бы	1	1
76	при этом что	2	1
77	в конечном счете	1	1
78	именно потому что	1	1
79	и прежде всего	1	1
80	наглядное представление о	1	1
81	о том чтобы	1	1
82	мы говорим о	1	1
