N	3gram	Vinokur_St_1	Stilisti
1	в то же	4	9
2	в зависимости от	1	7
3	то же время	4	7
4	для того чтобы	10	7
5	с точки зрения	8	5
6	того или иного	4	5
7	ту или иную	1	4
8	той или иной	1	4
9	на самом деле	6	3
10	в этом случае	2	3
11	в той же	2	3
12	но и в	2	3
13	то или иное	3	3
14	не только в	4	3
15	в конце концов	1	3
16	но все же	3	3
17	должны были бы	1	2
18	в так называемой	1	2
19	само собой разумеется	1	2
20	и в то	1	2
21	в этом отношении	7	2
22	и в области	4	2
23	но в то	2	2
24	смысле этого слова	1	2
25	чуть ли не	2	2
26	у нас не	1	2
27	не может быть	5	2
28	и тем же	2	2
29	о том что	11	2
30	к тому что	1	2
31	что у нас	1	2
32	то все же	1	1
33	в другом месте	1	1
34	искать ответа на	1	1
35	что ведь и	1	1
36	почему же мы	1	1
37	в голову не	1	1
38	в себе какой-то	1	1
39	одним и тем	2	1
40	по отношению к	3	1
41	не говоря уже	1	1
42	так как в	2	1
43	в самом деле	5	1
44	и в отношении	1	1
45	должен был бы	1	1
46	являются для нас	1	1
47	мы теперь должны	1	1
48	было бы говорить	1	1
49	до сих пор	7	1
50	не надо думать	1	1
51	что в одном	1	1
52	существует лишь в	1	1
53	можно было бы	8	1
54	с нашей точки	1	1
55	на этот вопрос	1	1
56	и в косвенных	1	1
57	по крайней мере	2	1
58	конечно это не	1	1
59	хотя бы и	2	1
60	лишь то что	1	1
61	и в наши	1	1
62	того чтобы не	1	1
63	здесь нет и	1	1
64	это прежде всего	2	1
65	ответа на вопрос	1	1
66	и в этом	3	1
67	и не было	1	1
68	тем не менее	2	1
69	но даже и	1	1
70	как и вообще	1	1
71	в гостях у	1	1
72	чтобы убедиться в	1	1
73	и в голову	1	1
74	в косвенных падежах	1	1
75	на вопрос о	2	1
76	содержит в себе	1	1
77	не менее и	1	1
78	таким образом в	1	1
79	даже и в	1	1
80	не может не	1	1
81	но то что	1	1
82	и никогда не	1	1
83	хотя бы в	1	1
84	и не может	1	1
85	вопрос о том	2	1
86	мысль о том	1	1
87	нашей точки зрения	1	1
88	но ведь в	1	1
89	с другой стороны	6	1
90	только в том	3	1
91	но все эти	1	1
92	ему и в	1	1
93	мы приходим к	1	1
94	той же мере	1	1
95	вовсе не является	1	1
96	в том что	17	1
97	этот вопрос в	1	1
98	как и в	2	1
99	в чем другом	1	1
100	не должен быть	1	1
101	тот факт что	1	1
