N	2gram	Bakhtin_KF_1	Sovremen
1	в результате	1	5
2	в этом	14	5
3	не может	27	5
4	мы можем	1	4
5	и наконец	1	4
6	мы не	3	4
7	в каждом	3	4
8	как бы	9	4
9	все эти	10	3
10	в целом	10	3
11	и мы	2	3
12	не можем	1	3
13	зависимости от	1	3
14	в зависимости	1	3
15	на этом	1	2
16	в одном	4	2
17	все же	5	2
18	и в	24	2
19	но в	5	2
20	мы должны	1	2
21	в третьем	1	2
22	все это	10	2
23	в первом	1	2
24	тот же	1	2
25	если мы	1	2
26	и все	7	2
27	прежде всего	2	2
28	не только	5	2
29	точки зрения	12	2
30	в виде	2	2
31	то же	5	2
32	из которых	2	2
33	мы получим	2	2
34	не в	12	2
35	при этом	4	2
36	мы видим	1	2
37	и не	26	1
38	другая или	1	1
39	но можно	4	1
40	единства в	2	1
41	в процессе	2	1
42	и из	1	1
43	целом может	1	1
44	может не	2	1
45	этом ее	1	1
46	не дает	3	1
47	это и	2	1
48	вследствие этого	2	1
49	он не	6	1
50	поэтому в	1	1
51	форму и	1	1
52	мы будем	1	1
53	только одно	1	1
54	одном случае	1	1
55	за собой	1	1
56	их в	1	1
57	а в	4	1
58	каждый раз	1	1
59	в то	3	1
60	определенных условиях	1	1
61	в своих	3	1
62	что уже	1	1
63	и свою	1	1
64	со всеми	2	1
65	этот процесс	1	1
66	в нашем	1	1
67	свою очередь	1	1
68	дело в	2	1
69	должен быть	7	1
70	в другом	3	1
71	мире можно	1	1
72	и т.п	1	1
73	для каждого	1	1
74	но все	5	1
75	как и	5	1
76	в которой	1	1
77	она не	1	1
78	еще не	4	1
79	независимо от	3	1
80	жизни и	8	1
81	еще более	2	1
82	может дать	3	1
83	о том	3	1
84	того же	1	1
85	один из	2	1
86	его с	2	1
87	играть в	1	1
88	и потому	2	1
89	же в	1	1
90	ничего не	3	1
91	заключать в	1	1
92	а все	3	1
93	же время	2	1
94	для нас	4	1
95	что в	4	1
96	в один	1	1
97	ясно что	3	1
98	функции в	1	1
99	чем в	1	1
100	бы два	1	1
101	а не	17	1
102	или как	2	1
103	той же	1	1
104	между ними	1	1
105	может быть	45	1
106	он должен	1	1
107	только так	1	1
108	и должно	1	1
109	можно взять	1	1
110	все равно	1	1
111	и действительно	6	1
112	эта функция	1	1
113	а затем	1	1
114	мы имеем	5	1
115	тем же	1	1
116	жизни принципиально	1	1
117	которых он	1	1
118	она может	1	1
119	нами в	1	1
120	в том	6	1
121	и тот	1	1
122	не будем	1	1
123	и т.д	2	1
124	это не	10	1
125	она всегда	1	1
126	о принципиальной	1	1
127	это уже	2	1
128	нет единства	1	1
129	конечно не	7	1
130	в себе	21	1
131	принципиально не	2	1
132	приводит только	1	1
133	одна из	1	1
134	и даже	1	1
135	и от	1	1
136	влечет за	1	1
137	в этой	2	1
138	как слишком	1	1
139	но это	6	1
140	поэтому мы	1	1
141	так как	1	1
142	который знает	1	1
143	что это	3	1
144	не подлежит	1	1
145	в нем	28	1
146	подлежит сомнению	1	1
147	и к	1	1
148	жизни т.е	1	1
149	же самое	1	1
150	пространственная и	1	1
151	и отчетливо	2	1
152	и по	1	1
153	что эта	2	1
154	один и	1	1
155	только к	1	1
156	они не	1	1
157	уже чисто	1	1
158	в свою	3	1
159	элемента в	1	1
160	том что	4	1
161	в своем	16	1
162	и будет	1	1
