N	3gram	Medvedev_F_3	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	1	7
3	с точки зрения	14	6
4	во всяком случае	6	6
5	в том числе	1	5
6	до сих пор	1	5
7	друг с другом	1	5
8	для того чтобы	4	5
9	о том что	1	4
10	том числе и	1	4
11	и вместе с	1	4
12	но все же	1	4
13	так или иначе	1	3
14	в конце концов	2	3
15	так же как	1	3
16	в связи с	4	3
17	тем не менее	2	3
18	в том что	3	3
19	с тем и	1	2
20	то же самое	3	2
21	друг на друга	1	2
22	потому что и	1	2
23	в этом отношении	3	2
24	с этой точки	1	2
25	то или иное	2	2
26	то ни было	4	2
27	бы то ни	4	2
28	так и от	2	2
29	то же время	7	2
30	этой точки зрения	1	2
31	с самого начала	1	2
32	той или иной	1	2
33	можно сказать что	1	2
34	на то что	1	2
35	в то же	7	2
36	это связано с	1	1
37	и того же	1	1
38	и все же	1	1
39	и в общем	1	1
40	что в этом	1	1
41	иметь в виду	1	1
42	по отношению к	3	1
43	имеем в виду	1	1
44	в самом деле	4	1
45	в настоящее время	1	1
46	одного и того	1	1
47	можно говорить лишь	1	1
48	формой и содержанием	1	1
49	о том как	2	1
50	непосредственно ни с	1	1
51	а потому что	1	1
52	обстоит дело с	3	1
53	а следовательно и	1	1
54	в таком случае	1	1
55	и в то	2	1
56	до известной степени	2	1
57	сами по себе	2	1
58	что так или	1	1
59	можно только в	2	1
60	но для этого	1	1
61	а вместе с	1	1
62	с тем что	1	1
63	при этом не	1	1
64	том или ином	1	1
65	другой стороны сами	1	1
66	нет никаких указаний	1	1
67	человека и в	1	1
68	в том или	1	1
69	и сами по	1	1
70	в данном случае	4	1
71	не потому что	1	1
72	тот факт что	1	1
73	смысле этого слова	2	1
74	и не могут	3	1
75	но при этом	1	1
76	в отличие от	2	1
77	и в этой	1	1
78	не в том	1	1
79	с нашей точки	1	1
80	а не как	1	1
81	все более и	1	1
82	том что они	1	1
83	до настоящего времени	1	1
84	если бы удалось	1	1
85	с другой стороны	5	1
86	между формой и	1	1
87	мы видели что	2	1
88	и является лишь	1	1
89	один и тот	1	1
90	не совпадает с	1	1
91	только то что	2	1
92	общем можно сказать	1	1
93	не может быть	14	1
94	может и не	1	1
95	всяком случае в	2	1
96	так и в	2	1
97	всяком случае с	1	1
98	и никогда не	1	1
99	не только не	2	1
100	более и более	1	1
101	нашей точки зрения	1	1
102	мы имеем в	1	1
103	никаких указаний на	1	1
104	и только в	1	1
105	именно потому что	2	1
106	и тот же	1	1
