N	4gram	Vinokur_Vv_1	Problema
1	и тем не менее	3	8
2	и т д и	1	4
3	дело в том что	2	3
4	в этом смысле и	1	2
5	не что иное как	4	2
6	одного и того же	2	2
7	есть не что иное	2	2
8	как бы ее ни	1	1
9	для того чтобы действительно	1	1
10	для того чтобы ее	1	1
11	для того чтобы этот	1	1
12	заключается в том что	2	1
13	о том что такое	4	1
14	одно и то же	1	1
15	то более то менее	1	1
16	и до наших дней	1	1
17	и в самом деле	3	1
18	не сам по себе	1	1
19	думать так значило бы	1	1
20	именно в этом смысле	1	1
21	не говоря уже о	1	1
22	которая вырастает на почве	1	1
23	т д все это	1	1
24	если бы оно было	1	1
25	вообще и т д	1	1
26	в связи с этим	1	1
27	но в то же	3	1
28	с тем что в	1	1
29	и т д все	2	1
