N	3gram	Losev_Vlad_3	Otkroven
1	у него в	4	5
2	для того чтобы	1	3
3	и в этом	5	2
4	это было бы	1	2
5	у него не	1	2
6	не может быть	6	2
7	с тем что	1	2
8	нет ничего кроме	1	2
9	как будто бы	1	1
10	в строгом смысле	1	1
11	потому что в	1	1
12	том что в	3	1
13	свое учение о	1	1
14	у вл соловьева	42	1
15	в самом деле	1	1
16	есть не только	1	1
17	и в том	2	1
18	учение о боге	1	1
19	он не только	1	1
20	о том как	1	1
21	должен был бы	1	1
22	бросается в глаза	2	1
23	да и то	1	1
24	все та же	1	1
25	и это все	1	1
26	вот оказывается что	1	1
27	во всяком случае	3	1
28	том случае если	2	1
29	сам по себе	2	1
30	в иных случаях	1	1
31	даже и в	2	1
32	само по себе	3	1
33	люди а не	1	1
34	о том что	8	1
35	в этом отношении	2	1
36	ко всему этому	1	1
37	то что в	3	1
38	жизни а не	1	1
39	вовсе не так	1	1
40	он еще не	1	1
41	в том что	10	1
42	на то что	2	1
43	бы он ни	1	1
44	и не в	1	1
45	в том случае	3	1
46	нельзя потому что	1	1
47	и то что	4	1
48	он никогда не	2	1
49	о боге то	1	1
50	у него была	1	1
51	которую он сам	1	1
52	никогда и нигде	1	1
53	а не только	2	1
54	ни с каким	3	1
55	это было у	1	1
56	и в его	3	1
57	нигде и никогда	1	1
