N	2gram	Propp_Isto_5	Komedia
1	и в	25	22
2	и не	11	21
3	т е	16	16
4	в дом	2	14
5	том что	8	13
6	таким образом	9	12
7	в том	6	12
8	так как	11	11
9	со стороны	2	11
10	потому что	7	10
11	в самом	1	9
12	до сих	2	9
13	вместе с	22	9
14	сих пор	2	9
15	в этом	10	8
16	его в	9	8
17	в своем	1	8
18	к ней	1	8
19	о том	7	8
20	если бы	2	8
21	в его	12	8
22	что и	6	8
23	что он	22	8
24	едва ли	1	7
25	то же	4	7
26	при этом	1	7
27	не по	1	7
28	об этом	2	7
29	в конце	1	7
30	о чем	2	7
31	только что	1	7
32	а в	3	7
33	в свою	3	7
34	того же	2	6
35	самом деле	2	6
36	еще не	8	6
37	так что	2	6
38	в то	3	6
39	и его	9	6
40	к тому	1	6
41	того чтобы	3	6
42	свою очередь	1	6
43	ясно что	5	6
44	и что	8	6
45	для того	3	6
46	может быть	17	6
47	во время	7	6
48	к этому	2	6
49	что его	3	5
50	отношение к	1	5
51	но в	1	5
52	не только	13	5
53	он не	4	5
54	в своей	2	5
55	в которых	3	5
56	то это	3	5
57	не менее	4	5
58	же время	1	5
59	связи с	8	5
60	к себе	1	5
61	и сам	2	5
62	с ним	4	5
63	к нему	3	5
64	что в	8	5
65	по отношению	2	5
66	из них	2	5
67	тем что	10	5
68	прежде всего	6	5
69	как это	1	5
70	все это	4	5
71	и т	20	4
72	он знает	1	4
73	на себя	3	4
74	в ней	5	4
75	с другой	9	4
76	отнюдь не	1	4
77	все же	10	4
78	когда он	2	4
79	то что	7	4
80	в себе	1	4
81	тому назад	1	4
82	лет тому	1	4
83	что она	1	4
84	но все	5	4
85	и с	3	4
86	с тем	8	4
87	несмотря на	2	4
88	точки зрения	2	4
89	не в	6	4
90	самого начала	1	4
91	на него	8	4
92	у него	2	4
93	и здесь	7	4
94	с самого	1	4
95	друг друга	3	4
96	здесь нет	1	4
97	из дому	2	4
98	не дает	1	4
99	вовсе не	2	4
100	само собой	1	4
101	но и	13	4
102	а не	2	4
103	в связи	4	4
104	и для	2	4
105	бы в	1	4
106	хотя бы	1	4
107	так же	5	4
108	из того	1	3
109	девушке и	1	3
110	на них	2	3
111	в ее	4	3
112	с этим	5	3
113	и к	1	3
114	тем же	1	3
115	и этим	2	3
116	в которой	4	3
117	представляет собой	7	3
118	в этой	3	3
119	и тот	1	3
120	по имени	1	3
121	на то	2	3
122	в нем	7	3
123	приводит к	1	3
124	было бы	1	3
125	по всему	1	3
126	как и	7	3
127	и еще	1	3
128	но если	1	3
129	том как	2	3
130	себе в	1	3
131	на месте	1	3
132	с точки	1	3
133	с дочерью	1	3
134	тем не	4	3
135	их в	3	3
136	не имеет	1	3
137	никогда не	3	3
138	ничего не	2	3
139	судя по	1	3
140	на это	1	3
141	возможно что	1	3
142	с полным	1	3
143	одного из	1	3
144	должно было	2	3
145	и мы	2	3
146	одной из	1	3
147	с одной	7	3
148	что не	1	3
149	следует что	1	3
150	не так	1	3
151	всяком случае	1	3
152	мы можем	2	3
153	отношению к	2	3
154	в других	2	3
155	и даже	1	3
156	даже не	1	3
157	перед ним	1	3
158	один из	2	3
159	если не	4	3
160	в частности	7	3
161	не может	6	3
162	конечно не	1	3
163	по своему	1	3
164	одной стороны	7	3
165	в течение	2	3
166	как бы	2	3
167	с этой	2	3
168	в целом	3	3
169	из себя	4	3
170	из своего	1	3
171	не знает	1	3
172	все что	1	3
173	во всяком	1	3
174	человека и	2	2
175	даже если	1	2
176	такое же	2	2
177	на своей	1	2
178	здесь и	1	2
179	из его	1	2
180	его не	3	2
181	мы не	5	2
182	время как	1	2
183	представление о	17	2
184	не совсем	6	2
185	и он	6	2
186	и на	8	2
187	во всех	2	2
188	в изображении	1	2
189	его а	1	2
190	мешает ему	1	2
191	отличие от	1	2
192	что они	1	2
193	и я	1	2
194	выясняется что	1	2
195	как в	6	2
196	стороны и	1	2
197	что касается	1	2
198	целый ряд	1	2
199	и хотя	4	2
200	то обстоятельство	1	2
201	только один	3	2
202	если он	1	2
203	и если	1	2
204	после этого	2	2
205	состоит в	1	2
206	в силу	1	2
207	человека в	3	2
208	а затем	7	2
209	а как	2	2
210	с другими	4	2
211	это не	6	2
212	еще одно	1	2
213	не ясно	3	2
214	на основании	1	2
215	как видно	1	2
216	в развитии	1	2
217	которую он	1	2
218	в котором	1	2
219	в их	1	2
220	в одном	1	2
221	что эта	1	2
222	она не	2	2
223	что с	1	2
224	дело не	1	2
225	в основе	1	2
226	н э	1	2
227	с участием	1	2
228	в руки	1	2
229	одним из	2	2
230	все еще	4	2
231	и это	4	2
232	как мы	5	2
233	и о	1	2
234	в виду	1	2
235	вывод что	1	2
236	здесь не	1	2
237	без всякого	1	2
238	за пределами	1	2
239	то время	1	2
240	роль в	2	2
241	в образе	5	2
242	наряду с	4	2
243	а также	1	2
244	на вопрос	1	2
245	брак с	1	2
246	как этот	1	2
247	что девушка	1	2
248	несколько иначе	1	2
249	за ней	2	2
250	как из	1	2
251	же теперь	1	2
252	не как	4	2
253	тот же	1	2
254	должен быть	2	2
255	сына и	1	2
256	по мнению	1	2
257	и ее	1	2
258	не мешает	1	2
259	в качестве	7	2
260	уже в	2	2
261	за ним	4	2
262	мы знаем	8	2
263	понимает что	1	2
264	по лестнице	3	2
265	представляют собой	3	2
266	от руки	1	2
267	что для	1	2
268	не было	1	2
269	отца в	1	2
270	а на	2	2
271	а сам	2	2
272	обстоятельство что	1	2
273	что мы	2	2
274	под влиянием	2	2
275	до этого	2	2
276	его на	4	2
277	из которых	2	2
278	к своему	1	2
279	в пределах	4	2
280	по существу	2	2
281	много лет	1	2
282	этом случае	7	2
283	только для	1	2
284	нет ничего	1	2
285	и ты	1	2
286	выходит из	1	2
287	все остальные	1	2
288	за нее	1	2
289	и все	3	2
290	нет никаких	1	2
291	брата и	1	2
292	он понимает	1	2
293	е в	3	2
294	только как	1	2
295	другой стороны	8	2
296	совершенно не	2	2
297	равно как	1	2
298	которым он	1	2
299	из этого	1	2
300	в свое	2	2
301	к этой	1	2
302	в своих	1	2
303	в таком	1	2
304	формы и	2	1
305	например в	5	1
306	себе путь	1	1
307	не считая	1	1
308	знает о	1	1
309	всего это	1	1
310	за которым	1	1
311	и меня	1	1
312	свою жену	1	1
313	с изображением	1	1
314	особенно часто	1	1
315	в зависимости	1	1
316	мы имеем	14	1
317	видел но	1	1
318	этому же	1	1
319	с более	1	1
320	вопрос о	2	1
321	именно к	1	1
322	из дальнейшего	1	1
323	я не	1	1
324	они были	1	1
325	ему в	3	1
326	зависимости от	1	1
327	это время	2	1
328	он сам	1	1
329	все эти	8	1
330	не был	1	1
331	только после	3	1
332	не без	1	1
333	одним словом	1	1
334	но не	5	1
335	другой пример	2	1
336	находит в	2	1
337	но как	1	1
338	заметим что	1	1
339	и всякий	1	1
340	если в	3	1
341	ответ на	1	1
342	должны были	1	1
343	очевидно что	2	1
344	себе и	1	1
345	предположение что	3	1
346	на девушку	1	1
347	можно отнести	1	1
348	к сожалению	1	1
349	относится к	1	1
350	в истории	4	1
351	трудно сказать	1	1
352	себя за	1	1
353	не видно	1	1
354	в одной	1	1
355	где и	1	1
356	не сделает	1	1
357	как к	1	1
358	у исследователей	1	1
359	и заставить	1	1
360	перед нами	2	1
361	как уже	1	1
362	узнает что	1	1
363	и как	3	1
364	и наконец	1	1
365	от этого	4	1
366	он дал	1	1
367	сами себя	1	1
368	вопрос почему	1	1
369	его роль	1	1
370	за это	1	1
371	начнем с	1	1
372	право на	1	1
373	еще один	2	1
374	он умер	1	1
375	герой опять	2	1
376	опять не	2	1
377	остались в	1	1
378	т д	18	1
379	людей из	1	1
380	еще раньше	1	1
381	чтобы они	1	1
382	с огромной	1	1
383	что девушку	1	1
384	в предыдущих	2	1
385	уже говорилось	1	1
386	том чтобы	2	1
387	мало того	1	1
388	на этом	3	1
389	в нее	6	1
390	собой две	1	1
391	по происхождению	1	1
392	что все	4	1
393	ссылаясь на	1	1
394	его ничем	1	1
395	той же	1	1
396	это было	2	1
397	хватает только	1	1
398	причины его	1	1
399	известно что	1	1
400	чтобы узнать	1	1
401	и тем	4	1
402	чаще всего	1	1
403	в это	2	1
404	перестала быть	1	1
405	во многом	1	1
406	его и	2	1
407	две женщины	2	1
408	он является	1	1
409	нет в	1	1
410	соответствии с	1	1
411	по названию	1	1
412	этого не	1	1
413	со своими	2	1
414	не всегда	4	1
415	представляет себе	1	1
416	а потом	1	1
417	такой же	2	1
418	посвящения в	1	1
419	одно из	1	1
420	и видит	1	1
421	работы в	1	1
422	таким же	2	1
423	я взял	1	1
424	в город	1	1
425	остается один	1	1
426	прийти к	2	1
427	место в	1	1
428	ином порядке	1	1
429	то его	2	1
430	в отличие	1	1
431	знаем что	6	1
432	делает вид	3	1
433	и раньше	1	1
434	его тайну	1	1
435	руки а	1	1
436	такую же	1	1
437	но он	2	1
438	говорит с	1	1
439	них является	1	1
440	это предположение	1	1
441	он увидел	1	1
442	некоторых случаях	2	1
443	на три	1	1
444	как можно	2	1
445	ее не	1	1
446	с которой	1	1
447	своими мужьями	1	1
448	виду что	1	1
449	того как	4	1
450	он еще	1	1
451	в самых	1	1
452	не могло	1	1
453	он с	1	1
454	на котором	1	1
455	так много	1	1
456	найти в	1	1
457	теперь с	1	1
458	находятся в	1	1
459	и по	2	1
460	но очень	1	1
461	детей и	1	1
462	еще впереди	1	1
463	во всем	2	1
464	же он	1	1
465	с новой	1	1
466	со своим	1	1
467	в сознании	1	1
468	представлений в	1	1
469	ведут в	1	1
470	что на	1	1
471	ли это	1	1
