N	3gram	Losev_Prob_3	Narrotol
1	в данном случае	7	8
2	не только в	2	6
3	в том что	9	5
4	к тому же	1	5
5	и тем самым	2	4
6	той или иной	8	4
7	в то же	4	4
8	не может быть	5	4
9	для того чтобы	1	3
10	в первом случае	1	3
11	тем не менее	10	3
12	речь идет о	1	3
13	о том что	3	2
14	в самом деле	1	2
15	то же самое	7	2
16	до сих пор	2	2
17	сами по себе	6	2
18	в отличие от	2	2
19	но и в	2	2
20	перед нами не	1	2
21	чем иным как	1	2
22	одно и то	3	2
23	войне и мире	1	2
24	может быть не	1	2
25	а во втором	1	2
26	и то же	4	2
27	другим потому что	1	2
28	в связи с	7	2
29	дело в том	3	2
30	и все же	1	2
31	во всяком случае	6	2
32	в войне и	1	2
33	можно сказать что	2	2
34	на то что	1	2
35	и того же	1	1
36	это уже не	2	1
37	что иное как	4	1
38	это могло бы	1	1
39	что вся эта	2	1
40	по сути дела	1	1
41	из поля зрения	1	1
42	только потому что	2	1
43	более или менее	1	1
44	выражается в слове	1	1
45	что для него	1	1
46	точки зрения в	1	1
47	же как и	2	1
48	с другой стороны	5	1
49	с точки зрения	2	1
50	и не только	1	1
51	в начале или	1	1
52	сам по себе	6	1
53	который в данном	1	1
54	в той же	1	1
55	в первой главе	1	1
56	бы то ни	4	1
57	с той или	5	1
58	только то что	2	1
59	что не только	1	1
60	и то что	7	1
61	из того что	1	1
62	точно так же	3	1
63	то что обычно	1	1
64	как он сам	1	1
65	по крайней мере	5	1
66	может быть и	3	1
67	что это за	3	1
68	как и в	1	1
69	то ни было	3	1
70	с одной стороны	1	1
71	но при этом	1	1
72	и потому что	1	1
73	связаны между собой	1	1
74	и как бы	2	1
75	тем же самым	1	1
76	в нем не	1	1
77	еще и потому	1	1
78	может быть несколько	1	1
79	в той или	2	1
80	здесь не только	1	1
81	а не в	1	1
82	то есть от	2	1
83	вовсе еще не	1	1
84	бросается в глаза	1	1
85	в смысловом отношении	1	1
86	содержит в себе	3	1
87	не сами по	1	1
88	быть не только	1	1
89	той или другой	4	1
90	мы не можем	1	1
91	то что мы	1	1
92	сказать и о	1	1
93	само по себе	3	1
94	как и всякий	1	1
95	он сам без	1	1
96	но на этот	1	1
97	одного и того	1	1
98	друг от друга	2	1
99	в этих случаях	1	1
100	по себе но	1	1
101	во втором случае	1	1
102	не отличается от	1	1
103	к тому что	1	1
104	значимость только в	1	1
105	тем более не	1	1
106	на самом деле	2	1
107	быть и не	1	1
108	на этот раз	3	1
109	в отрыве от	1	1
110	по себе а	3	1
111	но и с	1	1
112	и т д	13	1
113	как мы видели	2	1
