N	2gram	Vinokur_Vv_1	Psycholo
1	в том	31	37
2	и в	27	32
3	и что	4	22
4	том что	26	21
5	потому что	14	21
6	таким образом	19	21
7	то что	17	21
8	что в	11	20
9	может быть	24	18
10	так же	3	18
11	точки зрения	7	17
12	что и	3	17
13	не может	13	17
14	самом деле	6	16
15	что она	3	16
16	того чтобы	21	14
17	то же	8	13
18	в этом	34	13
19	при этом	3	13
20	для того	21	13
21	что он	4	13
22	в самом	12	12
23	заключается в	4	12
24	не только	21	12
25	по себе	9	12
26	так как	13	12
27	на то	1	11
28	было бы	5	11
29	с тем	6	11
30	и т	43	10
31	с точки	2	10
32	при помощи	2	10
33	но и	5	10
34	как и	5	10
35	и не	13	10
36	как в	1	9
37	никогда не	3	9
38	что при	1	9
39	искусства и	1	9
40	тем что	6	9
41	что все	1	9
42	в своих	2	9
43	на деле	1	8
44	той же	4	8
45	что это	3	8
46	не в	8	8
47	не менее	8	8
48	дело с	6	8
49	т п	5	8
50	того что	12	8
51	в сущности	3	7
52	совершенно ясно	1	7
53	и как	9	7
54	говорит что	1	7
55	все эти	3	7
56	ясно что	9	7
57	и его	5	7
58	как будто	3	7
59	к тому	4	7
60	можно было	7	7
61	только в	13	7
62	мы знаем	1	7
63	а не	3	7
64	сказать что	5	7
65	что если	2	6
66	в этой	3	6
67	если бы	2	6
68	о том	15	6
69	все время	1	6
70	тот же	1	6
71	и из	1	6
72	как бы	5	6
73	же самое	2	6
74	на самом	1	5
75	и на	3	5
76	что его	1	5
77	только на	3	5
78	что у	1	5
79	искусства в	1	5
80	все это	6	5
81	в то	5	5
82	есть только	2	5
83	в ней	3	5
84	и даже	5	5
85	до сих	5	5
86	сих пор	5	5
87	как раз	4	5
88	этом отношении	3	5
89	как на	11	5
90	же как	3	4
91	сам по	1	4
92	есть не	3	4
93	мы имеем	3	4
94	в чем	4	4
95	с этим	2	4
96	все же	8	4
97	в действительности	1	4
98	с той	1	4
99	в целом	5	4
100	и те	2	4
101	в нем	13	4
102	одной и	2	4
103	и с	2	4
104	и тем	5	4
105	в жизни	1	4
106	несмотря на	2	4
107	в данном	11	4
108	иначе говоря	1	4
109	и той	2	4
110	и более	1	4
111	тому что	2	4
112	не имеет	4	4
113	того как	3	4
114	ничего не	2	4
115	как она	4	4
116	и до	2	4
117	что на	1	4
118	и для	4	4
119	могут быть	4	4
120	тем не	8	4
121	утверждать что	1	4
122	если же	2	4
123	и это	6	4
124	данном случае	5	4
125	и сам	2	4
126	о ней	1	4
127	никак не	1	4
128	между тем	8	4
129	в языке	1	4
130	говорит он	2	4
131	мы видим	1	4
132	из них	3	4
133	от того	3	4
134	таким путем	1	4
135	как это	5	4
136	наряду с	2	4
137	материал для	3	4
138	с этой	4	4
139	и все	1	4
140	а в	5	4
141	совершенно не	1	4
142	жизни и	2	4
143	например в	2	3
144	отношении к	2	3
145	и то	5	3
146	приходит к	1	3
147	мы не	2	3
148	или же	3	3
149	то это	3	3
150	имеет дело	5	3
151	которое он	1	3
152	во всех	2	3
153	но как	2	3
154	а только	8	3
155	в общем	12	3
156	которые не	1	3
157	что именно	2	3
158	как к	1	3
159	и к	1	3
160	но в	10	3
161	та же	1	3
162	в §	7	3
163	ответом на	1	3
164	главным образом	1	3
165	состоит в	2	3
166	не к	2	3
167	не как	3	3
168	и вот	3	3
169	то как	1	3
170	на этом	3	3
171	об этом	5	3
172	это было	1	3
173	к области	1	3
174	показывает что	1	3
175	и сейчас	2	3
176	в своей	4	3
177	это только	4	3
178	в их	11	3
179	представление о	1	3
180	в которых	6	3
181	и другого	1	3
182	но он	1	3
183	том чтобы	6	3
184	не могли	2	3
185	в отношении	2	3
186	что с	3	3
187	тогда когда	3	3
188	мы можем	2	3
189	во всем	2	3
190	в каком	1	3
191	не могут	5	3
192	и заключается	4	3
193	и другой	1	3
194	само собой	2	3
195	которого мы	2	3
196	в виду	4	3
197	и совершенно	2	3
198	так и	1	3
199	том виде	3	3
200	жизнь и	1	3
201	для этого	3	3
202	образом в	1	3
203	и объяснить	1	3
204	с другой	8	3
205	в конечном	1	3
206	бы и	2	3
207	мы должны	1	3
208	значит что	1	3
209	один из	6	3
210	этот вопрос	4	3
211	и так	1	3
212	и ее	4	3
213	в законах	1	3
214	так что	5	3
215	что не	5	3
216	каким образом	1	3
217	и других	3	3
218	но совершенно	1	3
219	представить себе	5	3
220	в конце	3	3
221	может служить	3	3
222	были бы	1	3
223	которых мы	1	3
224	тому как	1	3
225	до конца	3	3
226	в частности	3	3
227	того или	1	3
228	по своему	5	3
229	видит в	4	3
230	что же	3	3
231	по существу	2	3
232	это значит	1	3
233	должны быть	1	3
234	само по	3	3
235	еще более	1	3
236	конце концов	2	3
237	хотя бы	5	3
238	только как	6	3
239	в свою	1	3
240	же мы	1	3
241	точно так	2	3
242	также и	16	2
243	того же	3	2
244	не остается	1	2
245	и без	2	2
246	только потому	1	2
247	объясняется и	1	2
248	как история	3	2
249	еще не	4	2
250	есть нечто	1	2
251	из того	2	2
252	как не	1	2
253	бы с	1	2
254	и говорить	1	2
255	бы то	1	2
