N	2gram	Tiupa_Vved_1	Mirosoze
1	может быть	18	30
2	не только	20	29
3	не может	7	28
4	и в	13	28
5	но и	19	25
6	а не	15	25
7	он не	3	24
8	о человеке	1	23
9	в этом	21	20
10	не было	2	18
11	у него	1	17
12	не в	6	16
13	потому что	5	16
14	в своей	5	15
15	в ней	4	15
16	до конца	3	14
17	никогда не	4	14
18	в нем	5	13
19	человека в	1	13
20	и он	1	12
21	и не	12	11
22	в самом	2	11
23	для него	3	11
24	прежде всего	7	10
25	и все	4	10
26	что в	3	10
27	и потому	1	10
28	в мире	8	10
29	что он	1	10
30	было бы	4	10
31	в своем	5	10
32	но он	1	9
33	с тем	1	9
34	в его	4	9
35	и его	5	9
36	человек в	1	9
37	к человеку	1	9
38	но не	5	8
39	в котором	8	8
40	в себе	5	7
41	к нему	1	7
42	в конце	1	7
43	того что	6	7
44	нет ничего	1	7
45	но в	6	7
46	должна быть	2	6
47	он сам	1	6
48	вместе с	1	6
49	в том	10	6
50	человек и	1	6
51	лишь в	2	6
52	только в	6	6
53	в этой	1	6
54	и на	3	6
55	все это	1	6
56	как и	11	5
57	явление духа	1	5
58	это не	6	5
59	что есть	1	5
60	у нас	1	5
61	мира и	2	5
62	и зла	1	5
63	добра и	1	5
64	то что	6	5
65	раскрывается в	1	5
66	не знает	1	4
67	не к	4	4
68	точки зрения	1	4
69	в их	1	4
70	а в	6	4
71	человека не	1	4
72	в этих	3	4
73	мог бы	1	4
74	один из	3	4
75	уже не	5	4
76	в человеческой	1	4
77	в них	2	4
78	тем что	2	4
79	что и	2	4
80	не как	2	4
81	уже в	1	4
82	в которых	1	4
83	должен был	1	4
84	истина о	1	4
85	отношение к	2	4
86	и по	3	4
87	и с	2	3
88	для нас	2	3
89	и вот	1	3
90	в него	1	3
91	для них	3	3
92	и их	1	3
93	в жизни	4	3
94	хотя бы	1	3
95	то есть	8	3
96	не так	1	3
97	не хотел	1	3
98	бы и	4	3
99	заключает в	1	3
100	мира не	2	3
101	не мог	1	3
102	в ее	1	3
103	мир в	1	3
104	особенно в	1	3
105	к тому	6	3
106	но если	1	3
107	на том	1	3
108	интерес к	1	3
109	только одно	1	3
110	мы увидим	1	3
111	и еще	1	3
112	не имеет	2	3
113	и бунта	1	3
114	на этом	1	3
115	будто бы	3	3
116	в мир	1	3
117	и мира	3	3
118	с собой	1	3
119	себя в	1	3
120	том что	7	3
121	все эти	1	2
122	этом он	1	2
123	по своей	3	2
124	одним из	5	2
125	все же	6	2
126	отношении к	1	2
127	бы в	3	2
128	входит в	1	2
129	с которой	1	2
130	бытия но	1	2
131	самому себе	1	2
132	жизни и	7	2
133	его с	2	2
134	людей и	1	2
135	и для	3	2
136	отношению к	7	2
137	в этот	2	2
138	его собственной	1	2
139	на этот	1	2
140	она может	1	2
141	человеческой жизни	3	2
142	с ним	3	2
143	бы не	2	2
144	в центре	2	2
145	того чтобы	1	2
146	в истории	1	2
147	тому чтобы	1	2
148	нем не	1	2
149	на людей	1	2
150	на протяжении	1	2
151	в начале	3	2
152	жизни в	4	2
153	мир не	1	2
154	к чему	1	2
155	и сама	1	2
156	и от	2	2
157	приводит к	2	2
158	человеческого сознания	2	2
159	в той	4	2
160	высшей степени	2	2
161	различие между	1	2
162	по отношению	7	2
163	как для	2	2
164	а как	1	2
165	как в	4	2
166	и уж	1	2
167	есть только	1	2
168	истории в	5	2
169	что без	1	2
170	за собой	1	2
171	в высшей	2	2
172	и мы	1	2
173	в то	4	2
174	как он	2	2
175	он лишь	1	2
176	не все	2	2
177	к этой	1	2
178	связано с	3	2
179	сказать что	1	2
180	мир но	1	2
181	о чем	2	2
182	в основе	3	2
183	с их	1	2
184	по своему	2	2
185	человека как	1	2
186	с того	1	2
187	человека к	1	2
188	он в	1	2
189	могут быть	4	2
190	не существует	2	2
191	мы видим	1	2
192	от его	1	2
193	место в	2	2
194	и что	1	2
195	также и	4	2
196	и она	1	2
197	должен быть	1	2
198	и к	2	2
199	и нет	1	2
200	так называемый	1	2
201	о том	5	2
202	не принадлежит	2	2
203	и у	1	2
204	вообще не	1	2
205	быть не	4	2
206	этом пути	1	2
207	к этому	2	2
208	относится к	1	2
209	пути и	1	2
210	как будто	4	2
211	в виду	1	2
212	если бы	7	2
213	еще в	2	2
214	все что	3	2
215	он и	2	2
216	как бы	4	2
217	в свою	4	2
218	есть на	1	1
219	с человеком	2	1
220	по природе	1	1
221	точек зрения	2	1
222	основной для	1	1
223	своей истории	1	1
224	о жизни	2	1
225	жизни а	1	1
226	в значительной	1	1
227	завершается же	1	1
228	бы он	1	1
229	но она	1	1
230	от них	1	1
231	еще не	7	1
232	власти и	1	1
233	во всяком	1	1
234	его на	1	1
235	это все	1	1
236	свидригайлова и	1	1
237	тех же	1	1
238	его тайну	1	1
239	и оно	2	1
240	в противоположность	1	1
241	в вечности	1	1
242	ее не	2	1
243	что же	3	1
244	то он	2	1
245	что они	1	1
246	не умеет	1	1
247	а что	1	1
248	целый ряд	2	1
249	начинается с	1	1
250	открывает в	1	1
251	себе в	1	1
252	и ее	1	1
253	так и	8	1
254	находятся в	1	1
255	не менее	4	1
256	вовсе не	1	1
257	в период	1	1
258	в сторону	1	1
259	отношение между	1	1
260	может показаться	1	1
261	в смысл	1	1
262	одна и	1	1
263	от которой	1	1
264	ключ к	1	1
265	действующих лиц	2	1
266	было в	1	1
267	лишь один	1	1
268	ответственности за	1	1
269	его и	1	1
270	к которому	2	1
271	многообразие человеческого	1	1
272	мы не	4	1
273	историю как	1	1
274	так что	1	1
275	состояния и	2	1
276	то и	2	1
277	та же	1	1
278	сознанием и	1	1
279	если в	2	1
280	что я	1	1
281	во всех	2	1
282	повергает в	1	1
283	а на	2	1
284	так в	4	1
285	в другой	1	1
286	наряду с	2	1
287	об этом	4	1
288	бы быть	1	1
289	как его	2	1
290	которой он	1	1
291	жизнь в	1	1
292	в одном	1	1
293	событие в	1	1
294	образом их	1	1
295	а лишь	2	1
296	не поглощает	1	1
297	к катастрофе	1	1
298	нормы а	1	1
299	культуры в	1	1
300	у гоголя	1	1
301	принадлежит к	3	1
302	действительной жизни	1	1
303	в искусстве	1	1
304	же не	1	1
305	и только	1	1
306	оно не	1	1
307	и наконец	2	1
308	не сам	1	1
309	путь к	1	1
310	с той	1	1
311	все то	1	1
312	иное как	1	1
313	которая не	2	1
314	у кого	1	1
315	радикально меняется	1	1
316	более глубокую	1	1
317	а именно	1	1
318	писателя в	1	1
319	лишь неведомый	1	1
320	вплоть до	1	1
321	культуры что	1	1
322	из него	1	1
323	кажется что	1	1
324	это он	1	1
325	можно назвать	1	1
326	должны были	2	1
327	в нашей	1	1
328	только художественная	1	1
329	на самом	4	1
330	как ему	1	1
331	между тем	1	1
332	от ее	1	1
333	но все-таки	1	1
334	они вели	1	1
335	во внутреннем	1	1
336	сознания в	3	1
337	еще более	1	1
338	значительной степени	1	1
339	мир так	1	1
340	что иное	1	1
341	переход от	1	1
342	во всем	1	1
343	сознание может	1	1
344	разных местах	1	1
345	стало быть	7	1
346	без этой	1	1
347	и сам	1	1
348	жизни не	1	1
349	которой не	1	1
350	проникнуть в	1	1
351	из всех	1	1
352	к ее	3	1
353	они не	1	1
354	основывается на	2	1
355	которое может	1	1
356	и через	1	1
357	отличие от	2	1
358	же она	1	1
359	что не	1	1
360	них не	1	1
361	к его	3	1
362	что такое	18	1
363	до вечера	1	1
364	с большей	1	1
365	для свободы	1	1
366	не на	1	1
367	же о	1	1
368	в отношении	1	1
369	только с	1	1
370	в силу	2	1
371	в течение	1	1
372	мире и	1	1
373	мир и	1	1
374	природы и	1	1
375	встреча с	2	1
376	и о	1	1
377	зависимости от	1	1
378	да и	1	1
379	период его	1	1
380	восходит к	2	1
381	что до	1	1
382	ивана и	1	1
383	от своего	1	1
384	всяком случае	1	1
385	со своей	1	1
386	к ним	2	1
387	самом деле	3	1
388	не столько	4	1
389	не могло	2	1
390	в подземелье	1	1
391	к великому	1	1
392	мы имеем	5	1
393	ее пределы	1	1
394	сил и	1	1
395	и наоборот	1	1
396	сам же	1	1
397	в разных	1	1
398	во время	1	1
399	из одного	1	1
400	но оно	1	1
401	мы читаем	1	1
402	не должен	1	1
403	и др	1	1
404	жизни то	2	1
405	так же	1	1
406	и принять	1	1
407	можно признать	1	1
408	в зависимости	1	1
409	всех этих	1	1
410	ближе к	1	1
411	и та	1	1
412	только от	1	1
413	а к	3	1
414	не вполне	3	1
415	роль в	1	1
416	писателем в	1	1
417	приблизиться к	1	1
418	значение в	1	1
419	только одна	1	1
420	во всей	1	1
421	не что	1	1
422	миром с	1	1
423	в отличие	2	1
424	человеку но	1	1
425	участие в	1	1
426	быть названа	1	1
427	как к	1	1
428	льва толстого	1	1
429	слова это	1	1
430	что мы	2	1
431	как у	1	1
432	сознании это	1	1
433	него нет	1	1
434	с утра	1	1
435	обратиться к	2	1
436	у нее	2	1
437	отразилось в	1	1
438	обращение к	1	1
439	их есть	1	1
440	в своих	2	1
441	быть и	2	1
442	всякий раз	1	1
443	с какой	1	1
444	по своим	3	1
445	начало и	2	1
446	будет дальше	1	1
447	на мгновение	2	1
448	в ряду	2	1
449	к которой	1	1
450	и состоит	1	1
451	между этими	1	1
452	в духе	1	1
453	такова что	1	1
454	самой своей	1	1
455	в частности	13	1
456	эти миры	1	1
457	и всю	1	1
458	и до	1	1
459	в области	3	1
460	которые не	1	1
461	и после	1	1
462	между двумя	3	1
463	мировой жизни	1	1
464	ответ на	1	1
465	что она	1	1
466	природе своей	1	1
467	жизни так	2	1
468	сознания на	1	1
469	хотя в	1	1
470	мира это	2	1
471	в греческой	1	1
472	одного из	3	1
473	к себе	1	1
474	а во	1	1
475	суждений о	1	1
476	никакого другого	1	1
477	бунта но	1	1
478	мира в	8	1
479	в моей	1	1
480	в пределах	2	1
481	можно было	2	1
482	не имея	1	1
483	к духовному	1	1
484	не могу	1	1
485	и увидел	1	1
486	и даже	1	1
487	его нельзя	1	1
488	в одной	2	1
489	к одному	1	1
490	она была	2	1
491	утра до	1	1
492	но также	2	1
493	также в	1	1
494	с еще	1	1
495	и более	3	1
496	но это	3	1
497	при котором	1	1
498	жизни как	1	1
499	слова что	1	1
