N	4gram	Medvedev_F_1	Psycholo
1	состоит в том чтобы	1	2
2	в то же время	8	2
3	все более и более	2	2
4	в том и заключается	1	2
5	и т п в	1	1
6	и не может быть	2	1
7	заключается в том чтобы	1	1
8	его жизнь и судьба	1	1
9	бы то ни было	1	1
10	с этой точки зрения	1	1
11	с точки зрения их	2	1
12	во что бы то	2	1
13	и в том что	1	1
14	бы то ни стало	2	1
15	какого бы то ни	1	1
16	в связи с этим	2	1
17	в своих последних работах	1	1
18	что бы то ни	2	1
19	том и заключается что	1	1
20	в зависимости от того	1	1
21	с точки зрения этой	1	1
22	ни на минуту не	1	1
