N	2gram	Medvedev_S_1	VeschiIm
1	не может	1	33
2	не только	3	31
3	может быть	2	29
4	и не	1	28
5	и в	3	26
6	то что	2	24
7	и есть	1	23
8	это значит	1	22
9	в смысле	2	15
10	что она	1	14
11	только в	2	14
12	по себе	1	13
13	и что	2	13
14	все же	1	12
15	что это	1	12
16	было бы	2	12
17	но и	2	12
18	таким образом	2	11
19	то же	2	10
20	как бы	2	10
21	в том	5	9
22	еще и	1	9
23	прежде всего	1	9
24	ничего не	1	8
25	в этом	5	7
26	его в	1	7
27	том что	2	7
28	в то	1	7
29	и как	1	6
30	по крайней	1	6
31	с ним	1	6
32	и только	3	6
33	крайней мере	1	6
34	когда мы	1	6
35	в результате	2	6
36	что в	2	6
37	это и	2	5
38	в сущности	1	5
39	в чем	1	5
40	но не	1	5
41	отнюдь не	1	5
42	должна быть	2	5
43	же это	1	5
44	это не	1	5
45	не в	3	5
46	для этого	1	5
47	еще не	2	5
48	или не	1	5
49	ни на	1	5
50	из себя	1	5
51	а в	1	5
52	мы не	1	4
53	же не	1	4
54	и мы	2	4
55	как и	1	4
56	между собою	1	4
57	и более	1	4
58	же время	1	4
59	точке зрения	1	4
60	и о	1	4
61	только то	1	4
62	о том	1	4
63	с другой	1	4
64	тем что	1	4
65	даже не	1	4
66	как же	3	4
67	и потому	1	4
68	в данном	1	4
69	быть не	1	4
70	как только	2	4
71	между ними	1	4
72	по самому	1	3
73	в своей	1	3
74	все это	7	3
75	так и	1	3
76	нужно было	2	3
77	один из	1	3
78	что он	1	3
79	но как	1	3
80	не мешает	1	3
81	без этого	1	3
82	сама по	1	3
83	никогда не	1	3
84	а с	1	3
85	она должна	1	3
86	она может	2	3
87	бы в	1	3
88	тем более	2	3
89	хотя бы	1	3
90	тем же	1	2
91	но она	1	2
92	что на	1	2
93	но ведь	3	2
94	в силу	1	2
95	на все	1	2
96	тому что	1	2
97	но только	1	2
98	и его	1	2
99	том как	1	2
100	никак не	1	2
101	может не	1	2
102	и понимает	1	2
103	не из	1	2
104	в частности	2	2
105	но именно	1	2
106	во всяком	1	2
107	я и	1	1
108	же по	1	1
109	что эти	1	1
110	между собой	1	1
111	первый план	1	1
112	оставаясь на	1	1
113	ними в	1	1
114	а тем	1	1
115	только тогда	1	1
116	метод и	2	1
117	перед нами	1	1
118	как то	1	1
119	все эти	1	1
120	в этой	1	1
121	специфическую природу	1	1
122	научного исследования	1	1
123	и стало	1	1
124	главным образом	2	1
125	он ни	1	1
126	и по	1	1
127	будет а	1	1
128	по природе	2	1
129	в них	1	1
130	далеко не	2	1
131	со своими	1	1
132	переходим к	1	1
133	на первый	1	1
134	реализма и	1	1
135	именно и	1	1
136	представить себе	1	1
137	в котором	1	1
138	без необходимости	1	1
139	на точке	1	1
140	стало быть	1	1
141	даже в	1	1
142	и какие	1	1
143	дело не	2	1
144	тогда и	1	1
145	невозможно ни	1	1
146	в наше	1	1
147	ровно ничего	1	1
148	более не	1	1
149	в конце	2	1
150	это вовсе	1	1
151	естествознания и	1	1
152	этот основной	1	1
153	на что	1	1
154	поставить и	1	1
155	происходит не	1	1
156	мы понимаем	1	1
157	должно было	1	1
158	связь между	1	1
159	на отдельные	1	1
160	к которому	2	1
161	метафизический дуализм	1	1
162	его собственная	1	1
163	не было	1	1
164	с одной	1	1
165	именно на	1	1
166	конечно не	1	1
167	в виде	1	1
168	мы переходим	1	1
169	очевидно что	2	1
170	всяком случае	1	1
171	вовсе не	1	1
172	у него	1	1
173	и будет	1	1
174	больше того	1	1
175	мы еще	1	1
176	одной стороны	1	1
177	зависит от	1	1
178	раньше всего	1	1
179	нет а	1	1
180	он говорит	1	1
181	им не	2	1
182	по существу	2	1
183	стоит только	1	1
184	построение не	1	1
185	же теперь	1	1
186	даже больше	1	1
187	а вот	1	1
188	или нет	1	1
189	конце концов	2	1
190	мы должны	1	1
191	только как	2	1
192	они не	1	1
