N	3gram	Vygotskiy__2	UchenyiS
1	в конечном счете	4	4
2	не может быть	6	4
3	по нашему мнению	1	3
4	с другой стороны	1	3
5	бы то ни	1	3
6	то ни было	1	3
7	не могут быть	1	2
8	в самом деле	4	2
9	в этом смысле	2	2
10	то же самое	2	2
11	до сих пор	1	2
12	хотя бы и	2	2
13	в этом отношении	3	2
14	на каждом шагу	1	2
15	в том что	21	2
16	и то что	1	2
17	и в частности	1	2
18	не в том	1	1
19	это было бы	1	1
20	более или менее	2	1
21	имеем в виду	1	1
22	в течение многих	1	1
23	вот почему она	1	1
24	верно и то	1	1
25	на первый план	1	1
26	сам по себе	1	1
27	во главу угла	1	1
28	же самое что	2	1
29	не входит в	1	1
30	никогда не может	1	1
31	он не обладает	1	1
32	само по себе	2	1
33	он пытается заменить	1	1
34	с тем что	1	1
35	нам думается что	2	1
36	еще один пример	1	1
37	элементы из которых	1	1
38	можно сказать что	1	1
39	у нас в	1	1
40	мы имеем в	1	1
41	на то что	6	1
42	прежде всего что	1	1
43	говорит он в	1	1
44	это не только	1	1
45	друг с другом	2	1
46	в буквальном смысле	1	1
47	в данном случае	3	1
48	с одной стороны	7	1
49	вот почему в	1	1
50	он прежде всего	1	1
