N	3gram	Berdyaev_O_1	Dialekti
1	в том что	1	9
2	не может быть	2	6
3	для того чтобы	3	5
4	само по себе	1	4
5	не в том	1	4
6	это не есть	1	4
7	и в этом	2	3
8	на то что	1	3
9	не есть просто	1	3
10	о том как	1	2
11	как и все	2	2
12	сам по себе	1	2
13	по сравнению с	1	2
14	от того что	1	2
15	искать не в	2	1
16	ни с какой	1	1
17	прежде всего в	1	1
18	а не в	2	1
19	не было и	1	1
20	с тем что	2	1
21	и на нем	1	1
22	и не в	1	1
23	в том случае	1	1
24	и то что	1	1
25	все что было	1	1
26	а не только	1	1
27	и потому это	1	1
28	в которой нет	1	1
29	это было бы	2	1
30	по природе своей	1	1
31	как бы и	1	1
32	не в силах	1	1
33	и других его	1	1
34	как бы в	1	1
35	это должно быть	1	1
36	в нем нет	3	1
37	о том что	1	1
38	должна быть не	1	1
39	и не может	1	1
40	и прежде всего	1	1
41	есть уже не	1	1
42	с чем и	1	1
43	ни с чем	1	1
44	после того как	1	1
45	ничего нет кроме	1	1
46	по себе есть	1	1
47	том случае если	1	1
48	он еще не	1	1
