N	2gram	Tiupa_Vved_1	Myshleni
1	в том	10	42
2	том что	7	35
3	с помощью	1	31
4	в процессе	1	27
5	таким образом	4	25
6	в этом	21	24
7	точки зрения	1	24
8	в качестве	8	21
9	и в	13	20
10	что в	3	19
11	в основе	3	17
12	то же	5	16
13	не только	20	15
14	то что	6	15
15	что они	1	14
16	процесс развития	1	13
17	как мы	3	13
18	в их	1	12
19	при этом	26	12
20	может быть	18	12
21	с другой	5	12
22	потому что	5	12
23	в его	4	11
24	так же	1	11
25	в целом	3	11
26	мы должны	1	11
27	на основе	1	10
28	в истории	1	10
29	в себе	5	10
30	в отношении	1	10
31	того что	6	10
32	мы видим	1	10
33	только в	6	10
34	если мы	1	10
35	того же	1	9
36	могли бы	1	9
37	как и	11	9
38	между тем	1	9
39	что и	2	9
40	тот же	1	9
41	с одной	5	9
42	слова в	2	9
43	одной стороны	5	9
44	как это	1	9
45	другой стороны	2	9
46	но и	19	9
47	и тем	2	8
48	было бы	4	8
49	этом смысле	1	8
50	и что	1	8
51	взрослого человека	1	8
52	вместе с	1	8
53	и не	12	8
54	в результате	3	8
55	самом деле	3	7
56	один и	1	7
57	в образовании	1	7
58	и тот	1	7
59	в своей	5	7
60	и более	3	7
61	тем самым	5	7
62	могут быть	4	7
63	же самое	1	7
64	того чтобы	1	7
65	тем что	2	7
66	этом отношении	4	7
67	а не	15	7
68	что мы	2	7
69	как бы	4	7
70	в самом	2	6
71	той же	1	6
72	и на	3	6
73	тому же	4	6
74	те же	2	6
75	с тем	1	6
76	мы видели	2	6
77	одного и	1	6
78	к одному	1	6
79	по своей	3	6
80	к тому	6	6
81	можно было	2	6
82	в силу	2	6
83	что он	1	6
84	уже в	1	6
85	не может	7	6
86	такого рода	16	6
87	сказать что	1	6
88	речь идет	1	5
89	между собой	2	5
90	друг на	1	5
91	как в	4	5
92	все же	6	5
93	перед нами	6	5
94	целый ряд	2	5
95	и к	2	5
96	все эти	1	5
97	на то	1	5
98	это не	6	5
99	на друга	1	5
100	и того	2	5
101	и его	5	5
102	не является	3	5
103	никогда не	4	5
104	так и	8	5
105	если бы	7	5
106	о том	5	5
107	мы можем	2	5
108	выступает в	1	5
109	в частности	13	5
110	слова и	1	5
111	что такое	18	5
112	тем же	1	4
113	в сущности	1	4
114	в своем	5	4
115	как уже	1	4
116	в нашем	6	4
117	как он	2	4
118	ключ к	1	4
119	состоит в	10	4
120	и с	2	4
121	на первый	1	4
122	в ходе	2	4
123	не в	6	4
124	тому что	1	4
125	возникает в	1	4
126	роль в	1	4
127	на том	1	4
128	по мере	1	4
129	и только	1	4
130	только что	1	4
131	в сознании	4	4
132	в школе	1	4
133	по выражению	2	4
134	из них	1	4
135	во всей	1	4
136	в области	3	4
137	в речи	2	4
138	по своему	2	4
139	обратимся к	2	4
140	и для	3	4
141	для нас	2	4
142	между ними	1	4
143	к этому	2	4
144	во всяком	1	4
145	как известно	1	3
146	идет о	1	3
147	сознании ребенка	1	3
148	в виду	1	3
149	столь же	1	3
150	а только	1	3
151	в настоящем	2	3
152	отнюдь не	7	3
153	но в	6	3
154	представляет собой	15	3
155	в этой	1	3
156	на его	1	3
157	на этом	1	3
158	что все	1	3
