1	для того чтобы	2	3
2	с разных сторон	1	2
3	что же это	1	2
4	но и в	3	2
5	это было бы	1	2
6	сказать что они	1	2
7	можно ли сказать	2	2
8	и в этом	3	2
9	ли сказать что	2	2
10	же это за	1	2
11	не может быть	3	2
12	обычном смысле слова	1	1
13	в этом отношении	1	1
14	как будто бы	5	1
15	и то что	7	1
16	что это за	1	1
17	том случае если	1	1
18	то что в	1	1
19	и в его	1	1
20	и не может	1	1
21	от того что	1	1
22	все что было	1	1
23	это должно быть	1	1
24	он сам и	1	1
25	все еще не	1	1
26	в том что	4	1
27	о его бесконечной	1	1
28	ни с чем	1	1
29	в каждом из	1	1
30	само по себе	2	1
31	и для человеческого	1	1
32	даже и в	3	1
33	а вовсе не	1	1
34	да и то	2	1
35	вовсе не так	1	1
36	в самом деле	2	1
37	в этих словах	1	1
38	о человеке ни	1	1
39	и прежде всего	2	1
40	в том случае	2	1
41	о том что	14	1
42	друг к другу	2	1
43	том что в	2	1
44	на то что	4	1
45	вещей и предметов	1	1
46	в обычном смысле	1	1
47	иначе чем в	1	1
48	не есть просто	2	1
49	и не очень	1	1
50	в одно время	1	1
51	хотя бы даже	1	1
52	вот оказывается что	1	1
53	так что для	1	1
54	хотя бы самый	1	1
55	о том как	1	1
56	что во всяком	1	1
57	во всяком случае	10	1
58	потому что ведь	1	1
