N	4gram	Vinokur_St_1	VLabPisa
1	в то же время	4	5
2	и в то же	1	3
3	в том отношении что	2	2
4	в том числе и	2	2
5	мы имеем дело с	1	1
6	только в том что	1	1
7	может быть и речи	1	1
8	до сих пор не	1	1
9	в этой области не	1	1
10	никаких оснований видеть в	1	1
11	том отношении что они	2	1
12	и т д но	4	1
13	уже о том что	1	1
14	но в то же	2	1
15	в том смысле что	1	1
16	но с другой стороны	2	1
17	имеет ничего общего с	2	1
18	в той или иной	1	1
19	ответ на этот вопрос	1	1
20	не имеет ничего общего	2	1
21	в то время как	1	1
22	не может быть признана	1	1
23	именно в том что	1	1
24	говорит о том что	2	1
25	не может быть и	1	1
26	так же как и	1	1
27	не может быть никакого	1	1
28	по этому поводу с	1	1
29	и по отношению к	1	1
30	не говоря уже о	1	1
