N	3gram	Bakhtin_Fr_3	Formalny
1	с точки зрения	1	14
2	не может быть	2	14
3	на самом деле	3	12
4	в то же	6	7
5	то же время	6	7
6	во всяком случае	1	6
7	с другой стороны	1	5
8	подобно тому как	1	4
9	видения и понимания	1	4
10	и не может	1	4
11	может быть понято	1	4
12	в данном случае	2	4
13	в связи с	4	4
14	бы то ни	1	4
15	то ни было	1	4
16	в направлении к	1	4
17	для того чтобы	3	4
18	как мы знаем	1	4
19	по отношению к	2	3
20	в этом отношении	2	3
21	в том что	1	3
22	нет и не	1	2
23	с таким же	1	2
24	одним и тем	1	2
25	и в данном	1	2
26	о том как	1	2
27	в нем и	1	2
28	как и все	3	2
29	в отличие от	3	2
30	может быть только	1	2
31	и тем же	1	2
32	в высшей степени	1	2
33	только то что	1	2
34	дело в том	1	2
35	мы видели что	1	2
36	вовсе не в	1	2
37	внешнего и внутреннего	1	2
38	в последнем счете	1	2
39	смысле этого слова	1	2
40	этого романа в	1	2
41	как мы видели	2	2
42	до конца в	1	1
43	где кончается одно	1	1
44	этим еще не	1	1
45	дело здесь не	1	1
46	говорит об этом	2	1
47	и с рядом	1	1
48	какой бы то	1	1
49	имеем в виду	1	1
50	в настоящее время	1	1
51	и до конца	5	1
52	виду прежде всего	1	1
53	в том же	2	1
54	в этом случае	1	1
55	на первый план	1	1
56	они не могут	1	1
57	хотя бы и	1	1
58	самом деле нет	1	1
59	время не может	1	1
60	же время не	1	1
61	тому как в	1	1
62	но для этого	1	1
63	в собственном смысле	1	1
64	и потому в	1	1
65	но в основном	1	1
66	мы еще вернемся	4	1
67	до сих пор	4	1
68	с рядом других	1	1
69	и в других	2	1
70	начала и до	4	1
71	в значительной степени	2	1
72	основе всех этих	1	1
73	имели в виду	1	1
74	эпохи не только	1	1
75	кончается одно и	1	1
76	и не было	2	1
77	и вместе с	1	1
78	так и по	1	1
79	и в этой	1	1
80	мы не найдем	1	1
81	вовсе не являются	1	1
82	он и не	1	1
83	мы все время	1	1
84	и той же	2	1
85	в его целом	1	1
86	все то что	2	1
87	между тем как	1	1
88	о том что	2	1
89	в той же	4	1
90	в виду прежде	1	1
91	можно было бы	2	1
92	со всею своею	1	1
93	быть понято и	1	1
94	в ее целом	1	1
95	с самого начала	1	1
96	и в самом	1	1
97	но никак не	1	1
98	той или иной	2	1
99	но все же	1	1
100	и в романе	2	1
101	можно сказать что	2	1
102	между жизнью и	3	1
103	мы имеем в	1	1
104	с начала и	4	1
105	здесь вовсе не	1	1
106	еще вернемся в	2	1
107	в данном контексте	1	1
108	в том числе	3	1
109	одной и той	2	1
110	мы уже указывали	1	1
111	уже указывали на	1	1
112	тех или иных	1	1
113	ведь то что	1	1
114	как и в	2	1
115	что между ними	1	1
116	не нуждается в	1	1
117	том числе и	2	1
