N	2gram	Voloshinov_1	formyVre
1	и в	15	46
2	в этом	13	22
3	и т	1	14
4	прежде всего	11	14
5	вовсе не	2	13
6	и его	15	12
7	во всех	8	11
8	не только	5	11
9	только в	6	11
10	как бы	11	10
11	то есть	1	10
12	во время	5	10
13	точки зрения	13	10
14	в том	4	10
15	но в	9	10
16	мы уже	5	9
17	не в	4	9
18	у него	3	9
19	но и	4	9
20	вместе с	4	9
21	и не	16	9
22	и для	2	9
23	мира и	1	9
24	то же	7	8
25	как и	6	8
26	с точки	10	8
27	для того	1	8
28	того чтобы	2	8
29	потому что	4	8
30	связи с	1	8
31	в его	9	8
32	из них	1	8
33	в основном	2	8
34	жизни и	5	8
35	и на	3	7
36	так сказать	3	7
37	всех этих	5	7
38	так и	10	7
39	может быть	13	7
40	в одном	3	7
41	то что	10	7
42	как мы	10	6
43	еще не	7	6
44	все же	5	6
45	и наконец	10	6
46	при этом	7	6
47	человека в	3	6
48	и с	7	6
49	его в	8	6
50	в основе	3	6
51	и явлений	1	6
52	никогда не	7	6
53	те же	4	6
54	и во	1	6
55	этого ряда	1	6
56	так как	9	6
57	в особенности	1	6
58	здесь в	1	6
59	все это	5	6
60	и все	4	6
61	но не	5	5
62	с этим	6	5
63	в своем	2	5
64	все эти	9	5
65	связанные с	2	5
66	он не	4	5
67	в нем	4	5
68	должно быть	2	5
69	громадное значение	1	5
70	в то	6	5
71	в дальнейшем	2	5
72	и у	6	5
73	тела и	1	5
74	и др	8	5
75	по существу	1	5
76	в смысле	1	5
77	что в	6	5
78	отношения к	2	4
79	также и	1	4
80	человека и	6	4
81	в мире	1	4
82	что они	1	4
83	в истории	3	4
84	как в	3	4
85	уже в	1	4
86	из этих	4	4
87	в себе	4	4
88	их в	2	4
89	тела в	1	4
90	и было	2	4
91	том что	5	4
92	в котором	1	4
93	же время	5	4
94	к себе	3	4
95	к смерти	4	4
96	в эпоху	3	4
97	с ним	12	4
98	и смерть	3	4
99	о том	1	4
100	его жизни	6	4
101	все его	2	4
102	конечно не	3	4
103	мир в	2	4
104	за ними	1	4
105	а не	2	4
106	отнюдь не	2	4
107	в ряду	1	4
108	еще более	2	4
109	жизни в	3	4
110	есть и	2	4
111	на свет	1	4
112	ему в	1	3
113	в виду	1	3
114	того же	1	3
115	слова и	2	3
116	а следовательно	2	3
117	мы еще	1	3
118	другой пример	1	3
119	мы будем	1	3
120	точка зрения	1	3
121	отношение к	7	3
122	нет и	1	3
123	хотя и	1	3
124	и как	1	3
125	в этот	4	3
126	уже не	5	3
127	та же	1	3
128	в большинстве	4	3
129	т д	1	3
130	и по	5	3
131	прежде чем	1	3
132	таким образом	21	3
133	здесь мы	1	3
134	а затем	1	3
135	в совершенно	2	3
136	связанных с	4	3
137	по всему	2	3
138	переходим к	1	3
139	на первый	1	3
140	что было	1	3
141	следовательно и	2	3
142	на границе	1	3
143	к тому	4	3
144	себя и	3	3
145	на основе	1	3
146	роль в	6	3
147	и совершенно	1	3
148	в борьбе	1	3
149	прикосновения к	1	3
150	в другом	1	3
151	а также	1	3
152	затем в	1	3
153	борьба с	3	3
154	что и	2	3
155	того что	2	3
156	тот же	5	3
157	что он	8	3
158	все они	2	3
159	в качестве	2	3
160	и они	1	3
161	на протяжении	5	3
162	большинстве случаев	5	3
163	для него	5	3
164	в прошлом	1	3
165	тем что	1	3
166	в форме	1	3
167	что на	1	3
168	и даже	2	3
169	и прежде	5	3
170	не было	4	3
171	не на	1	3
172	мира в	1	3
173	с помощью	9	3
174	не является	3	3
175	тем более	1	3
176	в этих	2	3
177	ее в	2	3
178	а в	6	3
179	себе самому	1	3
180	но эти	2	3
181	и другие	2	3
182	к этому	7	3
183	смысле слова	2	2
184	как его	2	2
185	связи между	1	2
186	и есть	2	2
187	этого мира	1	2
188	тем же	1	2
189	и так	1	2
