N	2gram	Losev_Prob_5	StatiiOP
1	и в	30	25
2	в этом	17	24
3	в том	12	20
4	что он	7	19
5	может быть	7	19
6	тем что	2	19
7	что в	5	19
8	что это	1	16
9	том что	17	15
10	в этой	10	14
11	не только	18	12
12	в г	1	12
13	в его	12	12
14	то что	18	12
15	так что	11	11
16	таким образом	13	10
17	прежде всего	6	10
18	и не	12	10
19	у него	11	9
20	но и	13	9
21	и т	1	8
22	все это	1	8
23	о том	12	8
24	в своих	1	8
25	из его	1	7
26	с этим	1	7
27	это не	2	7
28	было бы	4	7
29	в то	4	7
30	не может	5	7
31	что касается	3	7
32	его трагедии	1	7
33	точки зрения	10	7
34	что такое	1	7
35	г в	1	6
36	и на	6	6
37	как в	2	6
38	из этих	1	6
39	не в	7	6
40	в русской	3	6
41	в трагедии	4	6
42	между тем	2	6
43	только в	9	6
44	в конце	8	6
45	в области	2	6
46	как бы	6	6
47	а в	6	6
48	в году	5	5
49	то же	2	5
50	то обстоятельство	1	5
51	но в	9	5
52	на то	2	5
53	он не	3	5
54	об этом	4	5
55	ни в	4	5
56	мы имеем	2	5
57	в котором	2	5
58	потому что	13	5
59	обстоятельство что	2	5
60	и это	1	5
61	так и	7	5
62	в них	2	5
63	с другой	6	5
64	а не	5	5
65	такого рода	2	5
66	того что	3	5
67	другой стороны	6	5
68	в которой	5	4
69	время как	3	4
70	из которых	1	4
71	в чем	2	4
72	все же	9	4
73	не было	1	4
74	и к	4	4
75	то в	1	4
76	на его	2	4
77	состоит в	1	4
78	этом смысле	3	4
79	и тем	3	4
80	с тем	5	4
81	как и	7	4
82	своей трагедии	1	4
83	а как	1	4
84	этой трагедии	3	4
85	у нас	7	4
86	по крайней	4	4
87	в устах	1	4
88	с точки	8	4
89	стиль трагедии	2	4
90	ничего не	2	4
91	к ней	1	4
92	этом отношении	1	4
93	в ней	3	4
94	и с	5	4
95	можно сказать	6	4
96	а также	3	4
97	к нему	3	4
98	в качестве	4	4
99	и др	1	4
100	в начале	3	4
101	всяком случае	2	4
102	отношение к	2	4
103	то время	3	4
104	крайней мере	4	4
105	xix века	1	4
106	он говорит	2	4
107	что здесь	2	4
108	в смысле	4	4
109	и для	6	4
110	но это	1	4
111	сказать что	9	4
112	была бы	2	4
113	в своей	22	4
114	из этого	4	4
115	это в	1	4
116	во всяком	2	4
117	я и	1	3
118	он хотел	1	3
119	по мнению	2	3
120	он был	2	3
121	или из	1	3
122	с его	1	3
123	своего рода	1	3
124	этих стихотворений	1	3
125	кроме того	2	3
126	что по	1	3
127	и наконец	1	3
128	все эти	2	3
129	и если	1	3
130	всех этих	1	3
131	от нее	1	3
132	что этот	5	3
133	в другом	3	3
134	несмотря на	6	3
135	нет никакого	3	3
136	в их	1	3
137	что я	1	3
138	но он	5	3
139	и более	2	3
140	тому что	1	3
141	же время	1	3
142	связи с	7	3
143	и здесь	1	3
144	со стороны	1	3
145	и что	6	3
146	по этому	2	3
147	у которого	2	3
148	и его	6	3
149	вот что	1	3
150	уже не	6	3
151	уже в	2	3
152	не так	4	3
153	так как	6	3
154	как раз	5	3
155	что для	1	3
156	одной стороны	3	3
157	до конца	1	3
158	в рассказе	1	3
159	в связи	7	3
160	быть это	1	3
161	с этой	2	3
162	между прочим	1	3
163	г а	1	3
164	в мировой	1	3
165	в стихотворении	14	3
166	тем более	1	3
167	обращается к	1	3
168	конце концов	6	3
169	к этому	2	3
170	в виде	10	3
171	в какой	2	3
172	xvii века	1	2
173	самом деле	2	2
174	трагедии и	2	2
175	к своей	1	2
176	и за	2	2
177	этого стихотворения	1	2
178	того же	4	2
179	не был	1	2
180	которое он	1	2
181	тем как	2	2
182	то он	1	2
183	нет не	1	2
184	только тогда	3	2
185	если в	1	2
186	не просто	5	2
187	нет и	1	2
188	что они	3	2
189	что именно	2	2
190	его к	1	2
191	в самом	5	2
192	формы в	1	2
193	имеем в	1	2
194	он считает	2	2
195	т д	1	2
196	не как	1	2
197	том чтобы	1	2
198	представляет собою	2	2
199	чтобы в	1	2
200	и по	1	2
201	но все	4	2
202	а по	1	2
203	то есть	21	2
204	русской поэзии	1	2
205	общества в	1	2
206	ее в	2	2
207	а с	4	2
208	он и	5	2
209	между собою	1	2
210	мы не	2	2
211	такой же	1	2
212	и тогда	2	2
213	не мог	4	2
214	нас не	3	2
215	можно найти	6	2
216	в такой	1	2
217	эта тема	1	2
218	не столько	1	2
219	тем не	5	2
220	этапом в	1	2
221	если и	1	2
222	в отношении	3	2
223	не менее	5	2
224	что эта	1	2
225	самого начала	1	2
226	как о	4	2
