N	2gram	Voloshinov_1	Problema
1	и не	1	37
2	и в	3	35
3	не только	1	24
4	может быть	1	18
5	но и	1	16
6	в языке	1	15
7	не менее	1	13
8	не может	4	13
9	а не	1	10
10	в его	1	7
11	в то	1	6
12	то же	1	5
13	с другими	1	5
14	связи с	1	5
15	и на	1	5
16	и все	1	5
17	если бы	1	4
18	язык как	1	3
19	нет и	1	3
20	из этих	1	3
21	несмотря на	1	3
22	тому что	1	3
23	анализа и	1	3
24	и можно	1	3
25	один из	2	3
26	к тому	1	3
27	бы в	1	3
28	оторвано от	1	2
29	в ней	1	2
30	языка как	1	2
31	его от	1	2
32	точки зрения	1	2
33	в системе	1	2
34	и больше	1	1
35	конечно и	1	1
36	и заставляет	1	1
37	вполне понятно	1	1
38	если один	1	1
39	себе все	1	1
40	бы на	1	1
41	вещей и	1	1
42	если в	2	1
43	время бесконечно	1	1
44	разных категорий	1	1
45	в каждом	1	1
46	вопрос что	1	1
47	на нее	1	1
48	от контекста	1	1
49	может не	1	1
50	в лингвистике	1	1
51	речь и	1	1
52	как художественная	1	1
53	можно назвать	1	1
