N	3gram	Bakhtin_KF_1	VrazhdaK
1	и все же	1	5
2	то же время	2	4
3	в то же	2	4
4	с точки зрения	9	2
5	но в то	1	2
6	в этот момент	1	2
7	не может быть	11	2
8	в том что	2	2
9	можно говорить об	1	1
10	а следовательно и	1	1
11	то что я	2	1
12	между прочим и	1	1
13	равно как и	1	1
14	в котором он	3	1
15	в этом смысле	3	1
16	а с точки	1	1
17	в соответствии с	2	1
18	в том же	1	1
19	не было бы	3	1
20	независимо от того	1	1
21	но это не	1	1
22	и то что	1	1
23	может быть и	1	1
24	и в то	1	1
25	в известном смысле	1	1
26	и в этом	3	1
27	ее и в	1	1
28	во всяком случае	1	1
29	и в котором	1	1
30	тем не менее	2	1
31	в свою очередь	1	1
32	но в этом	1	1
33	но и от	1	1
34	на то что	1	1
35	не только от	1	1
