N	3gram	Bakhtin_sl_1	Hudozhes
1	в отличие от	1	7
2	то же время	12	6
3	в то же	12	6
4	более или менее	3	5
5	с другой стороны	4	5
6	той или иной	9	5
7	в том что	1	5
8	с точки зрения	8	3
9	одно и то	2	3
10	и то же	2	3
11	тем не менее	1	3
12	того или иного	2	3
13	можно сказать что	1	3
14	в той или	9	2
15	как бы не	1	2
16	в том и	2	2
17	и в то	5	2
18	в противном случае	1	2
19	до известной степени	2	2
20	в значительной степени	1	2
21	не могло быть	1	2
22	с одной стороны	4	2
23	не в самом	1	2
24	так или иначе	1	2
25	в свою очередь	2	2
26	для того чтобы	1	2
27	в эстетический объект	1	2
28	к тому что	2	2
29	и прежде всего	1	2
30	и в сущности	2	1
31	дистанции между ними	1	1
32	бы ни был	1	1
33	к автору и	1	1
34	в виду не	1	1
35	между собой в	1	1
36	прежде всего в	1	1
37	это было бы	1	1
38	имеем в виду	1	1
39	или даже вовсе	1	1
40	в этом случае	2	1
41	в зависимости от	3	1
42	только в условиях	1	1
43	не входит в	1	1
44	бы то ни	1	1
45	рассеянной чужой речи	1	1
46	у нее нет	1	1
47	в последние десятилетия	1	1
48	точки зрения не	1	1
49	с этой точки	1	1
50	по крайней мере	1	1
51	то или иное	1	1
52	и тем и	1	1
53	может быть и	1	1
54	то есть его	1	1
55	в особенности в	1	1
56	то ни было	1	1
57	отношение к своему	2	1
58	в известном смысле	2	1
59	не могут быть	2	1
60	в евгении онегине	2	1
61	и на его	1	1
62	в его сознании	1	1
63	и не могла	1	1
64	входит в эстетический	1	1
65	и в том	2	1
66	в свое время	1	1
67	высказывания и в	1	1
68	здесь как бы	1	1
69	в то время	2	1
70	о том что	1	1
71	тем и другим	1	1
72	то есть в	1	1
73	и романного слова	1	1
74	этой точки зрения	1	1
75	и оценки и	1	1
76	никогда не бывает	1	1
77	включает в себя	1	1
78	к чужому слову	4	1
79	именно потому что	1	1
80	между тем это	1	1
81	он еще не	1	1
82	мы имеем в	1	1
83	бы они ни	1	1
84	они ни были	1	1
85	между автором и	2	1
86	к одному из	1	1
87	таким образом с	1	1
88	тех или иных	1	1
89	в отношении к	6	1
90	не может быть	1	1
91	поэт не может	1	1
92	как и в	1	1
93	своему смыслу и	1	1
