N	3gram	Tiupa_Disk_1	KFilosof
1	по отношению к	9	21
2	не может быть	3	11
3	с точки зрения	1	10
4	на самом деле	1	3
5	в котором он	1	3
6	в этом смысле	1	3
7	того или иного	1	3
8	может быть в	1	3
9	мира в котором	1	2
10	ни к чему	1	2
11	в соответствии с	2	2
12	она могла бы	1	2
13	только по отношению	1	2
14	во всех этих	1	2
15	то же время	4	2
16	к чему не	1	2
17	могла бы быть	2	2
18	в целом и	1	2
19	той или иной	3	2
20	в то же	3	2
21	тем не менее	1	2
22	в том что	13	2
23	а не в	2	2
24	то все же	1	1
25	на то что	1	1
26	оно лежит в	1	1
27	то что и	1	1
28	именно в этой	1	1
29	нет и не	1	1
30	никогда не было	1	1
31	потому что в	1	1
32	и того же	2	1
33	теоретического познания в	1	1
34	и может быть	1	1
35	в нем совершенно	1	1
36	имеют дело с	1	1
37	он не может	1	1
38	смысле можно говорить	1	1
39	не было и	1	1
40	ее а не	1	1
41	только в том	2	1
42	хотя бы и	1	1
43	тем или иным	1	1
44	отношение к ценности	1	1
45	в основе своей	2	1
46	в противном случае	1	1
47	вместе с тем	1	1
48	и как бы	3	1
49	и в то	1	1
50	ту или иную	1	1
51	чему не обязывающий	1	1
52	в известном смысле	1	1
53	в том случае	1	1
54	а не как	1	1
55	не в том	3	1
56	к той же	1	1
57	дело в том	1	1
58	во всяком случае	1	1
59	и т.п но	3	1
60	заключать в себе	1	1
61	на этом пути	1	1
62	пространственную и временную	1	1
63	событие не есть	1	1
64	в нем нет	1	1
65	в значительной степени	2	1
66	в свою очередь	3	1
67	и не должно	1	1
68	но отнюдь не	2	1
69	в конечном счете	1	1
70	это отнюдь не	1	1
71	всему что не	1	1
72	не может стать	1	1
73	не было он	1	1
74	и вследствие этого	1	1
75	одного и того	2	1
76	в другом случае	1	1
77	в большинстве случаев	1	1
78	в этом последнем	1	1
79	возможна только в	1	1
80	дело не в	1	1
81	во всех его	1	1
82	если бы я	1	1
83	то же самое	2	1
84	на том что	1	1
85	времени и пространства	1	1
