N	2gram	Potebnia_M_1	Marksizm
1	точки зрения	8	34
2	может быть	27	26
3	и не	18	26
4	не может	22	24
5	с точки	3	20
6	и в	39	19
7	и его	5	19
8	языка как	5	17
9	таким образом	13	17
10	в этом	15	16
11	как бы	6	15
12	языка в	6	14
13	как мы	2	13
14	языка и	17	13
15	прежде всего	4	13
16	как и	9	12
17	если мы	3	11
18	так и	13	11
19	связи с	3	11
20	и для	5	11
21	самом деле	1	10
22	в нем	20	10
23	в слове	8	10
24	ни было	2	10
25	в самом	3	10
26	лишь в	1	9
27	только в	25	9
28	для него	4	9
29	в результате	1	9
30	бы то	2	8
31	все же	6	8
32	не только	21	8
33	без исключения	1	8
34	при этом	6	8
35	о языке	3	8
36	то ни	3	8
37	друг друга	5	8
38	до сих	1	8
39	но и	20	8
40	сих пор	1	8
41	то что	10	8
42	язык как	7	7
43	во всех	5	7
44	в ее	1	7
45	но в	9	7
46	психологии и	1	7
47	все эти	1	7
48	то же	6	7
49	в каждом	4	7
50	а не	21	7
51	в связи	1	7
52	так же	5	7
53	так сказать	2	6
54	мы не	10	6
55	и того	2	6
56	в науке	1	6
57	ничего не	1	6
58	в его	5	6
59	в организме	3	6
60	в том	26	6
61	в смысле	4	6
62	другой стороны	5	6
63	того же	3	6
64	связи между	2	5
65	входит в	1	5
66	может стать	1	5
67	рядом с	1	5
68	одного и	2	5
69	не в	15	5
70	того чтобы	2	5
71	ничего общего	2	5
72	те же	1	5
73	как ее	1	5
74	и все	3	5
75	этот вопрос	2	5
76	в начале	2	5
77	вовсе не	5	5
78	с другой	7	5
79	за пределы	2	5
80	именно в	1	5
81	и потому	5	5
82	хотя бы	2	5
83	к этому	1	5
84	во всяком	3	5
85	переход от	1	4
86	что слово	3	4
87	вопрос о	4	4
88	и на	1	4
89	как в	10	4
90	к одному	2	4
91	не будет	2	4
92	было бы	12	4
93	не столько	1	4
94	мысли и	9	4
95	не менее	6	4
96	по себе	10	4
97	в отношении	1	4
98	самого начала	3	4
99	в единство	1	4
100	в ней	7	4
101	с самого	3	4
102	в языке	33	4
103	язык в	8	4
104	язык есть	17	4
105	еще не	6	4
106	только на	3	4
107	от того	4	4
108	для того	3	4
109	далеко не	1	4
110	как же	1	4
111	физиологическим процессом	1	4
112	с этим	7	4
113	в данном	1	4
114	что же	2	4
115	вне его	1	4
116	а в	5	4
117	между ними	1	4
118	сказать что	3	4
119	что в	22	4
120	на самом	1	3
121	он может	1	3
122	и есть	2	3
123	не имеют	5	3
124	высшей степени	1	3
125	а как	2	3
126	имеет свою	1	3
127	в сущности	2	3
128	по отношению	13	3
129	в истории	7	3
130	общего с	1	3
131	и как	6	3
132	в первом	5	3
133	в которой	2	3
134	этот процесс	1	3
135	но все	2	3
136	различие между	1	3
137	его в	1	3
138	от одного	1	3
139	он не	3	3
140	переходим к	2	3
141	том что	16	3
142	в своей	3	3
143	и ее	1	3
144	в котором	1	3
145	более того	1	3
146	является в	1	3
147	в то	4	3
148	к этим	1	3
149	все без	1	3
150	для всего	1	3
151	не имеет	5	3
152	на язык	7	3
153	же время	4	3
154	следует что	1	3
155	этом отношении	1	3
156	в области	1	3
157	не могут	4	3
158	должны быть	7	3
159	не есть	10	3
160	и это	3	3
161	не существует	2	3
162	только при	2	3
163	понятно что	1	3
164	из основных	2	3
165	одного из	2	3
166	с другими	1	3
167	двух направлений	1	3
168	и следовательно	2	3
169	того что	8	3
170	нуждается в	2	3
171	в какой	1	3
172	между тем	5	3
173	языка а	3	3
174	по законам	2	3
175	из них	1	3
176	в каком	6	3
177	не было	4	3
178	на этот	2	3
179	все это	1	3
180	смысле этого	1	3
181	и формы	1	3
182	слова и	4	3
183	и от	3	3
184	над языком	1	3
185	нет ничего	2	3
186	язык является	1	3
187	что делает	1	3
188	она может	3	3
189	сознания и	1	3
190	слово в	1	3
191	и при	3	3
192	речи и	10	3
193	совершенно не	1	3
194	мы должны	3	3
195	всех других	1	3
196	первом случае	1	3
197	одним из	2	2
198	языка с	6	2
199	же как	1	2
200	быть сведены	1	2
201	по которым	1	2
202	той же	3	2
203	таком случае	2	2
204	из представителей	2	2
205	совпадает с	1	2
206	зависимости от	1	2
207	круг предметов	1	2
208	свою очередь	4	2
209	но при	3	2
210	именно эти	1	2
211	не найдем	1	2
212	история языка	3	2
213	в чем	1	2
214	то мы	2	2
215	одним словом	2	2
216	как если	1	2
217	что язык	16	2
218	явлений и	3	2
219	для других	1	2
220	не все	2	2
221	себе и	1	2
222	свои мысли	1	2
223	сама по	3	2
224	что во	2	2
225	в одной	1	2
226	природы как	1	2
227	в своем	3	2
228	определение может	1	2
229	все остальные	4	2
230	может получить	1	2
231	его к	2	2
232	в действительности	4	2
233	от этого	1	2
234	то в	5	2
235	формы в	1	2
236	в нашем	1	2
237	из этих	4	2
238	в себе	13	2
239	как он	1	2
240	если он	1	2
241	как оно	1	2
242	тем не	6	2
243	должна быть	3	2
244	не как	1	2
245	из виду	1	2
246	одной и	3	2
247	из него	2	2
248	может существовать	1	2
249	можно было	1	2
250	от нее	6	2
251	могла бы	2	2
252	что все	3	2
253	в другом	1	2
254	не сможет	1	2
255	и с	3	2
256	бы в	4	2
257	этом смысле	4	2
258	ни в	1	2
259	для них	2	2
260	истории языка	2	2
261	от него	4	2
262	жизни но	1	2
263	для одного	1	2
264	должно быть	7	2
265	имеет место	2	2
266	мысль и	1	2
267	и той	3	2
268	времени не	1	2
269	и более	2	2
270	тому что	3	2
271	эта мысль	2	2
272	этими двумя	1	2
273	мысли в	9	2
274	эти формы	2	2
275	что такое	1	2
276	не могло	3	2
277	следовательно и	2	2
278	как она	3	2
279	в сознании	3	2
280	точке зрения	2	2
281	у нас	2	2
282	от их	1	2
283	могут быть	9	2
284	языке и	1	2
285	к тому	4	2
286	она не	3	2
287	с ее	2	2
288	в виду	2	2
289	зрения так	1	2
290	язык и	5	2
291	что само	1	2
292	самое это	1	2
293	дано в	1	2
294	никогда не	4	2
295	то как	1	2
296	мог бы	2	2
297	если бы	14	2
298	и вообще	3	2
299	и даже	4	2
300	по мере	6	2
301	к языку	2	2
302	о том	2	2
303	все в	2	2
304	и во	3	2
305	во втором	5	2
306	что и	6	2
307	говорит он	4	2
308	и только	2	2
309	существует как	1	2
310	язык от	1	2
311	что он	1	2
312	словом и	2	2
313	между этими	1	2
314	какой степени	1	2
315	в единстве	2	2
316	и других	4	2
317	и их	3	2
318	всяком случае	1	2
319	так как	21	2
320	мы можем	2	2
321	речь и	2	2
322	тем что	9	2
323	что не	10	2
324	противоречие между	1	2
325	зависит от	5	2
326	языка не	5	2
327	там где	4	2
328	еще только	2	2
329	независимо от	6	2
330	сведены к	1	2
331	для всех	5	2
332	и этот	1	2
