N	3gram	Losev_Dial_3	Poddanst
1	в то же	1	7
2	то же время	1	7
3	в том что	3	4
4	с точки зрения	14	3
5	сами по себе	3	3
6	в сравнении с	3	3
7	с одной стороны	3	3
8	одной стороны и	1	2
9	и не только	3	2
10	и в то	1	2
11	в ней не	1	2
12	том что в	1	1
13	– все это	1	1
14	в этом мире	1	1
15	есть не более	1	1
16	что это значит?	2	1
17	более или менее	1	1
18	т д не	1	1
19	и с этим	1	1
20	очень и очень	1	1
21	и в этом	2	1
22	что с точки	1	1
23	что бога не	1	1
24	и не может	1	1
25	тот или иной	2	1
26	и пр в	1	1
27	и в частности	1	1
28	в применении к	1	1
29	так же как	2	1
30	для того кто	3	1
31	если бы мы	1	1
32	только в виде	1	1
33	не в том	1	1
34	мы отнюдь не	1	1
35	во всяком случае	2	1
36	с другой стороны	2	1
37	в каком смысле	3	1
38	не может быть	6	1
39	само по себе	5	1
40	ни к чему	1	1
41	мира а не	1	1
42	не более как	1	1
43	и в движении	1	1
44	как одна из	1	1
45	и т д	23	1
