N	3gram	Berdyaev_M_1	FransuaR
1	прежде всего в	2	4
2	в конце концов	2	4
3	в том что	1	3
4	по отношению к	2	2
5	имеем в виду	1	2
6	можно было бы	1	2
7	и в этой	4	2
8	в значительной степени	1	2
9	это прежде всего	1	2
10	и есть то	1	2
11	никто не может	1	2
12	мы имеем в	1	2
13	что иное как	1	1
14	потому что он	1	1
15	ничего не остается	1	1
16	но в нем	1	1
17	не без основания	1	1
18	от него и	1	1
19	новых и новых	1	1
20	мир к человеку	1	1
21	есть прежде всего	1	1
22	и по отношению	1	1
23	в нем все	1	1
24	спуска в преисподнюю	1	1
25	но и в	4	1
26	человек не есть	1	1
27	к человеку и	1	1
28	но он не	2	1
29	с тем что	3	1
30	что в конце	1	1
31	и у других	1	1
32	и у него	1	1
33	это не было	3	1
34	человека человек не	1	1
35	не что иное	1	1
36	не только в	2	1
37	центральное место в	1	1
38	от бога в	1	1
39	не может знать	1	1
40	о том что	1	1
41	не только для	1	1
42	в этих словах	1	1
43	одним из самых	1	1
44	есть не только	3	1
45	на поверхности земли	2	1
46	в разных местах	1	1
47	одного из самых	1	1
48	во всяком случае	1	1
49	как и все	1	1
50	имел в виду	1	1
51	это и есть	4	1
52	была еще вполне	1	1
53	к нему и	1	1
54	и в самом	3	1
55	нужно сказать что	1	1
56	выходит за пределы	1	1
57	по прямой линии	1	1
58	в самом человеке	1	1
59	и по своим	1	1
60	свое завершение в	1	1
61	и в том	1	1
62	он знает только	1	1
63	не знает и	1	1
64	тем что в	1	1
65	в себе в	1	1
66	один из самых	4	1
67	мы увидим что	3	1
68	жизни существует только	1	1
69	в чистилище и	1	1
