N	2gram	Medvedev_S_1	Problema
1	и в	3	44
2	вовсе не	1	37
3	и не	1	35
4	может быть	2	28
5	по себе	1	25
6	то что	2	23
7	в том	5	21
8	только в	2	19
9	в этом	5	17
10	для нас	3	16
11	когда мы	1	15
12	не только	3	14
13	то же	2	13
14	не в	3	13
15	том что	2	12
16	отнюдь не	1	10
17	так и	1	10
18	как и	1	10
19	но и	2	10
20	это не	1	9
21	в то	1	9
22	никак не	1	9
23	в его	3	9
24	что он	1	9
25	в данном	1	9
26	как бы	2	9
27	же самое	1	9
28	таким образом	2	9
29	во всяком	1	9
30	сама по	1	8
31	перед нами	1	8
32	было бы	2	8
33	связи с	1	8
34	что в	2	8
35	это и	2	7
36	мы не	1	7
37	в связи	1	7
38	все эти	1	7
39	мы должны	1	7
40	с ним	1	7
41	и что	2	7
42	с другой	1	7
43	еще и	1	7
44	не может	1	7
45	и потому	1	7
46	в целом	1	6
47	все же	1	6
48	о том	1	6
49	но только	1	6
50	никогда не	1	6
51	для этого	1	6
52	и только	3	6
53	всяком случае	1	6
54	в виде	1	6
55	и есть	1	5
56	еще не	2	5
57	за пределы	2	5
58	в своей	1	5
59	и его	1	5
60	и о	1	5
61	крайней мере	1	5
62	или даже	2	5
63	в конце	2	5
64	не было	1	5
65	по крайней	1	5
66	все это	7	5
67	а в	1	5
68	в чем	1	4
69	но как	1	4
70	на первый	1	4
71	тому что	1	4
72	это вовсе	1	4
73	тем что	1	4
74	на этот	1	4
75	это значит	1	4
76	это же	1	3
77	но не	1	3
78	и как	1	3
79	что это	1	3
80	в этой	1	3
81	конце концов	2	3
82	его в	1	3
83	в таких	1	3
84	ничего не	1	3
85	как будто	2	3
86	как только	2	3
87	не мешает	1	3
88	прежде всего	1	3
89	ни на	1	3
90	в заключение	1	3
91	из себя	1	3
92	тем более	2	3
93	хотя бы	1	3
94	литературы и	2	2
95	и будет	1	2
96	друг от	1	2
97	дает нам	1	2
98	тем же	1	2
99	но именно	1	2
100	что все	1	2
101	же не	1	2
102	на основании	1	2
103	между собою	1	2
104	в этих	1	2
105	первый план	1	2
106	в котором	1	2
107	бы о	1	2
108	и более	1	2
109	дело не	2	2
110	в процессе	1	2
111	и по	1	2
112	ровно ничего	1	2
113	от друга	1	2
114	настоящее время	1	2
115	только то	1	2
116	она может	2	2
117	том как	1	2
118	в настоящее	1	2
119	на отдельные	1	2
120	с одной	1	2
121	даже не	1	2
122	именно в	1	2
123	а с	1	2
124	в частности	2	2
125	по существу	2	2
126	только тогда	1	2
127	в результате	2	2
128	бы в	1	2
129	литературоведении и	1	1
130	что эти	1	1
131	должна быть	2	1
132	благодаря тому	1	1
133	между собой	1	1
134	точно разграничить	1	1
135	сказать и	1	1
136	система не	1	1
137	он говорит	1	1
138	наше дело	1	1
139	пришлось бы	1	1
140	они ни	1	1
141	как то	1	1
142	иначе и	1	1
143	но ведь	3	1
144	собой не	1	1
145	новое и	1	1
146	что она	1	1
147	и заключается	2	1
148	бы они	1	1
149	так называемым	1	1
150	в него	1	1
151	быть не	1	1
152	произведение как	1	1
153	в них	1	1
154	далеко не	2	1
155	со своими	1	1
156	и благодаря	1	1
157	обходится без	1	1
158	том и	1	1
159	даже в	1	1
160	мысли в	1	1
161	хотелось бы	1	1
162	слова но	1	1
163	факта что	1	1
164	вот в	1	1
165	данном стихотворении	1	1
166	представляется нам	1	1
167	заключается что	2	1
168	этого и	1	1
169	бы он	1	1
170	более не	1	1
171	трудно представить	1	1
172	образом в	1	1
173	мы понимаем	1	1
174	связь между	1	1
175	и человеком	1	1
176	исторического развития	2	1
177	без этого	1	1
178	или не	1	1
179	существу своему	1	1
180	у него	1	1
181	потому его	1	1
182	и им	1	1
183	что на	1	1
184	индивидуальность и	1	1
185	мы еще	1	1
186	зависит от	1	1
187	далеко еще	1	1
188	метода как	1	1
189	одной стороны	1	1
190	но сам	1	1
191	процессе живого	1	1
192	благодаря этому	1	1
193	только для	1	1
194	остается в	1	1
195	именно такого	1	1
196	это как	1	1
197	в те	1	1
198	и самым	1	1
199	истории литературы	10	1
200	только как	2	1
201	они не	1	1
