N	3gram	Savitsky_E_1	Problema
1	и т д	1	10
2	для того чтобы	5	8
3	в данном случае	2	8
4	на то что	2	8
5	в этом смысле	3	6
6	в том что	6	5
7	в связи с	1	4
8	то есть в	1	4
9	той или иной	4	4
10	в то же	15	4
11	что же касается	1	3
12	дело в том	1	3
13	более или менее	1	3
14	с точки зрения	16	3
15	может быть и	1	3
16	во всяком случае	3	3
17	то что в	2	3
18	и тем самым	1	3
19	можно сказать что	3	3
20	с другой стороны	2	3
21	в себе не	1	3
22	и того же	1	2
23	в других случаях	1	2
24	хотя и не	1	2
25	не говоря уже	2	2
26	как это мы	1	2
27	то и другое	1	2
28	так же как	5	2
29	на этот раз	1	2
30	тех или иных	1	2
31	а также и	1	2
32	и в этом	4	2
33	во всех этих	1	2
34	так и для	1	2
35	о которых мы	1	2
36	не может быть	2	2
37	того или иного	4	2
38	с тем что	1	2
39	одного и того	1	2
40	можно было бы	3	2
41	вовсе не обязательно	1	2
42	говоря уже об	1	1
43	а не к	1	1
44	нужно помнить что	1	1
45	принимая во внимание	1	1
46	также и в	1	1
47	в том же	1	1
48	в некоторых случаях	1	1
49	и во многих	1	1
50	во многих других	1	1
51	говоря уже о	1	1
52	а именно в	1	1
53	и в то	8	1
54	того что мы	1	1
55	в этом отношении	3	1
56	к тому или	1	1
57	мы здесь говорим	1	1
58	xviii и xix	2	1
59	тем самым в	2	1
60	не есть ли	1	1
61	то или иное	1	1
62	может дать ей	1	1
63	то время как	1	1
64	же как и	3	1
65	не обязательно чтобы	1	1
66	но в то	2	1
67	не только в	4	1
68	если оставить в	1	1
69	и с точки	1	1
70	только в виде	1	1
71	и не быть	1	1
72	так и в	2	1
73	в известном смысле	3	1
74	близко подходит к	2	1
75	тем большее количество	1	1
76	не могут быть	1	1
77	ко всему человечеству	1	1
78	есть не только	2	1
79	бы то ни	4	1
80	до настоящего времени	1	1
81	и притом в	2	1
82	связи с этим	1	1
83	в определенный момент	1	1
84	заключается в том	2	1
85	в то время	1	1
86	мы можем сказать	2	1
87	это значит что	1	1
88	в пределах этого	1	1
89	выходит за пределы	1	1
90	и ее превосходство	1	1
91	и тем более	1	1
92	тому или иному	2	1
93	оставить в стороне	1	1
94	не только это	1	1
95	к тому что	1	1
96	помнить что в	1	1
97	во всех случаях	3	1
98	всех этих случаях	1	1
99	к тому же	1	1
100	только тогда когда	1	1
101	как мы видели	2	1
102	и только в	2	1
