N	2gram	Berdyaev_M_2	Literetu
1	и не	18	22
2	в мире	7	16
3	и в	46	16
4	х годов	1	15
5	в этом	20	14
6	не только	18	14
7	но и	15	14
8	в том	3	12
9	может быть	21	12
10	а не	13	12
11	то что	5	12
12	я и	2	10
13	своего рода	1	10
14	не в	9	10
15	такого рода	2	10
16	то же	5	9
17	так и	4	9
18	того что	6	9
19	в этой	7	8
20	в жизни	4	8
21	том что	4	8
22	не может	15	8
23	к себе	2	8
24	как бы	8	8
25	в своей	5	7
26	только в	3	7
27	себя в	4	7
28	точки зрения	2	7
29	с его	4	6
30	в себе	10	6
31	в другом	1	6
32	о том	3	6
33	и его	5	6
34	в его	5	6
35	с другой	1	6
36	к тому	5	6
37	как в	7	5
38	всего лишь	1	5
39	в целом	1	5
40	лишь в	2	5
41	это не	5	5
42	как и	13	5
43	в основе	2	5
44	этом отношении	1	5
45	в ее	1	5
46	что он	7	5
47	вместе с	2	5
48	а в	2	5
49	перед лицом	1	4
50	по отношению	2	4
51	хотя и	2	4
52	и если	2	4
53	входит в	1	4
54	должно быть	2	4
55	место в	2	4
56	своего другого	1	4
57	никогда не	18	4
58	а также	1	4
59	другого в	2	4
60	в жизнь	1	4
61	как будто	2	4
62	как у	2	4
63	в природе	1	4
64	до конца	4	4
65	и для	7	4
66	жизни в	3	4
67	отношению к	2	4
68	отношения к	2	3
69	самом деле	1	3
70	для которого	1	3
71	той же	3	3
72	личности с	1	3
73	и как	1	3
74	и к	7	3
75	но в	10	3
76	то в	2	3
77	бы и	5	3
78	на его	2	3
79	самим собой	1	3
80	и тем	1	3
81	с точки	1	3
82	по своей	3	3
83	потому что	12	3
84	личности в	2	3
85	все еще	1	3
86	еще в	2	3
87	в словах	1	3
88	не случайно	2	3
89	прежде всего	12	3
90	между тем	2	3
91	вслед за	1	3
92	все время	2	3
93	ни к	1	3
94	уже не	4	3
95	человеческого духа	5	3
96	в самом	5	3
97	наконец в	1	3
98	о чем	1	3
99	мира в	1	3
100	тому как	2	3
101	мыслится как	1	3
102	на смену	3	3
103	жизни и	6	3
104	как на	1	3
105	того же	1	2
106	вопрос о	6	2
107	на себя	1	2
108	я не	5	2
109	и на	3	2
110	не могу	6	2
111	во всех	2	2
112	отношение к	8	2
113	я только	1	2
114	когда он	1	2
115	могли бы	1	2
116	к идее	1	2
117	ответственности за	1	2
118	не знает	9	2
119	жизнь как	1	2
120	он в	3	2
121	переходное состояние	1	2
122	право на	1	2
123	но без	1	2
124	раз в	1	2
125	на то	1	2
126	все они	1	2
127	в нем	22	2
128	и вот	5	2
129	подобно тому	2	2
130	человека в	14	2
131	мире не	1	2
132	и с	3	2
133	в глубине	3	2
134	его в	3	2
135	было бы	1	2
136	той или	1	2
137	она и	1	2
138	не всегда	2	2
139	и тогда	3	2
140	и ее	1	2
141	всякий раз	1	2
142	одном из	1	2
143	быть может	2	2
144	в конце	5	2
145	по себе	2	2
146	нас к	1	2
147	как о	1	2
148	свободы и	4	2
149	того чтобы	4	2
150	о природе	1	2
151	жизни не	2	2
152	а лишь	2	2
153	у нас	11	2
154	удивительно что	1	2
155	для такого	1	2
156	для себя	1	2
157	и сам	1	2
158	что у	4	2
159	не с	1	2
160	во второй	1	2
161	мира и	1	2
162	если бы	3	2
163	и перед	3	2
164	во втором	1	2
165	что и	4	2
166	и только	1	2
167	еще оставался	1	2
168	и об	1	2
169	но с	2	2
170	вне себя	1	2
171	со всеми	1	2
172	связи с	2	2
173	которому он	1	2
174	для него	18	2
175	тем что	3	2
176	для того	5	2
177	это будет	1	2
178	или иной	2	2
179	не надо	2	2
180	о как	1	2
181	себя и	3	2
182	что не	2	2
183	с ней	1	2
184	не означает	2	2
185	него не	1	2
186	так же	6	2
187	и потому	7	2
188	берет на	1	2
189	xix века	1	2
190	с этой	1	2
191	один из	5	2
192	за его	1	2
193	сознания и	2	2
194	что в	4	2
195	отношением к	2	2
196	в свою	4	2
197	жизни а	2	2
198	оно не	2	2
199	ее в	2	2
200	в своих	3	2
201	к этому	1	2
202	от этой	2	1
203	была бы	1	1
204	до пределов	1	1
205	всем и	1	1
206	к духовной	1	1
207	свою духовную	1	1
208	и то	1	1
209	на самом	1	1
210	в стороне	1	1
211	того самого	1	1
212	это и	3	1
213	и есть	8	1
214	между двумя	1	1
215	из самых	1	1
216	по преимуществу	5	1
217	прошлое и	1	1
218	все те	1	1
219	с таким	2	1
220	и за	2	1
221	человека которая	2	1
222	ней есть	2	1
223	одних и	1	1
224	это означает	2	1
225	на определенный	1	1
226	в решении	1	1
227	говорить о	1	1
228	совсем иное	2	1
229	что иное	3	1
230	принадлежит к	2	1
231	хотел сказать	1	1
232	не знают	1	1
233	и он	11	1
234	в ней	11	1
235	который может	2	1
236	в xix	1	1
237	он был	9	1
238	он сам	6	1
239	иное как	3	1
240	быть в	1	1
241	в чем	3	1
242	во имя	16	1
243	тем как	1	1
244	к которой	3	1
245	к богу	2	1
246	сознания не	1	1
247	если в	1	1
248	личность для	1	1
249	органической связи	1	1
250	уже как	1	1
251	постановка проблемы	1	1
252	нет и	1	1
253	человеку и	3	1
254	за пределы	1	1
255	определяется не	1	1
256	сама по	1	1
257	которые могли	1	1
258	в центре	2	1
259	независимо от	1	1
260	с этим	1	1
261	в своем	8	1
262	сознания в	1	1
263	в плену	1	1
264	и человек	3	1
265	духа в	2	1
266	в нашем	7	1
267	бы не	2	1
268	любви не	1	1
269	не оставляет	1	1
270	сознания он	1	1
271	уже в	2	1
272	и кто	1	1
273	ее как	1	1
274	как он	3	1
275	личность но	1	1
276	отцом и	1	1
277	если для	1	1
278	она становится	1	1
279	он не	10	1
280	и утверждает	1	1
281	самостоятельного места	1	1
282	и человеческого	2	1
283	людей и	3	1
284	не бывает	3	1
285	этом втором	1	1
286	втором случае	1	1
287	им как	1	1
288	его не	2	1
289	на все	3	1
290	дух в	1	1
291	с прошлым	1	1
292	всю свою	1	1
293	из первых	1	1
294	в них	3	1
295	нет в	4	1
296	русское национальное	1	1
297	все равно	3	1
298	этого не	1	1
299	не узнает	1	1
300	и уже	1	1
301	чем в	2	1
302	ведет к	13	1
303	в чистом	1	1
304	своему другому	2	1
305	же я	1	1
306	был бы	1	1
307	что такое	1	1
308	сознания но	1	1
309	нас не	2	1
310	во времена	1	1
311	прибегает к	1	1
312	не к	2	1
313	жизни с	1	1
314	значение для	1	1
315	своей не	1	1
316	а вне	1	1
317	но это	8	1
318	другом и	1	1
319	но он	11	1
320	в россии	3	1
321	вот уже	1	1
322	что было	3	1
323	свобода и	2	1
324	личность в	1	1
325	сам он	2	1
326	тому что	4	1
327	в отношении	5	1
328	а от	2	1
329	она не	8	1
330	открывает в	1	1
331	в русской	6	1
332	тогда когда	2	1
333	на два	1	1
334	революции и	6	1
335	душе и	1	1
336	в самых	1	1
337	отличное от	1	1
338	для всего	1	1
339	он с	1	1
340	не имеет	4	1
341	принят и	1	1
342	упование на	2	1
343	строя жизни	1	1
344	к концу	1	1
345	во всем	5	1
346	ему и	1	1
347	идет путем	1	1
348	и теперь	1	1
349	не принадлежит	1	1
350	не по	1	1
351	слова о	1	1
352	исторического процесса	1	1
353	уже и	1	1
354	и делает	1	1
355	в будущем	1	1
356	в действительности	2	1
357	и разом	1	1
358	будущее в	1	1
359	и отверг	1	1
360	для личности	1	1
361	сама жизнь	1	1
362	он один	1	1
363	значительной степени	1	1
364	жить в	1	1
365	его с	2	1
366	от своеволия	1	1
367	души все	1	1
368	на наших	1	1
369	приходит к	2	1
370	революционный путь	1	1
371	но по	1	1
372	человеческой личности	7	1
373	самим собою	2	1
374	существа в	1	1
375	остается в	1	1
376	не человек	1	1
377	свои силы	2	1
378	и от	3	1
379	начало которое	1	1
380	свет в	1	1
381	природе своей	1	1
382	с собой	2	1
383	было в	3	1
384	в борьбе	1	1
385	она была	1	1
386	жизнь и	4	1
387	национальное сознание	1	1
388	не состояться	1	1
389	для этого	4	1
390	объясняется их	1	1
391	нет на	1	1
392	на вопрос	1	1
393	говорит об	1	1
394	и который	1	1
395	в значительной	1	1
