N	3gram	Propp_Russ_1	Psycholo
1	на то что	1	16
2	в том что	15	14
3	что в этом	2	6
4	о том что	4	6
5	к тому что	4	6
6	мы увидим что	1	6
7	и как бы	1	4
8	друг к другу	2	4
9	по этому поводу	2	4
10	иметь в виду	1	3
11	никак не может	1	3
12	вместе с тем	6	3
13	с тем что	1	3
14	на этот вопрос	1	3
15	так как это	1	3
16	и т п	1	3
17	мы видим что	1	3
18	можно было бы	1	3
19	друг с другом	1	3
20	и т д	9	3
21	в этом отношении	1	3
22	и того же	1	2
23	что иное как	2	2
24	состоит в том	8	2
25	одного и того	1	2
26	в этом случае	5	2
27	может быть и	2	2
28	мы должны будем	1	2
29	с точки зрения	3	2
30	в отличие от	1	2
31	потому что он	1	2
32	так же как	1	2
33	в данном случае	1	2
34	не только в	1	2
35	он должен был	1	2
36	вопрос о том	1	2
37	не что иное	2	2
38	можно сказать что	1	2
39	совершенно очевидно что	1	2
40	на самом деле	1	2
41	том что в	6	1
42	полагает что это	1	1
43	по его словам	1	1
44	в отдельности может	1	1
45	обратиться к таким	1	1
46	то что им	1	1
47	в нашем сознании	1	1
48	только потому что	1	1
49	что она в	1	1
50	что в основе	1	1
51	по этому вопросу	1	1
52	отсюда можно сделать	1	1
53	на кладбище в	1	1
54	это означает что	1	1
55	по отношению к	1	1
56	для наших целей	2	1
57	во многих случаях	2	1
58	одна из основных	1	1
59	же как и	1	1
60	и в этом	1	1
61	еще далеко не	1	1
62	что первые два	1	1
63	мы не можем	3	1
64	к другому и	1	1
65	каждый из этих	1	1
66	такими какими их	1	1
67	по существу в	1	1
68	так как они	2	1
69	потому что она	1	1
70	как будто бы	1	1
71	это имеет место	2	1
72	в них же	1	1
73	приводит к тому	1	1
74	все же не	2	1
75	но вместе с	1	1
76	и в том	1	1
77	потому что они	1	1
78	в русском языке	1	1
79	мы имеем здесь	1	1
80	и что от	1	1
81	в то время	1	1
82	то что ему	1	1
83	в свою очередь	2	1
84	в собственном смысле	1	1
85	после того как	2	1
86	ничего общего с	1	1
87	ни одна из	1	1
88	в целом ряде	1	1
89	один из самых	1	1
90	это приводит к	1	1
91	им не только	1	1
92	видели в ней	1	1
93	в совершенно ином	1	1
94	привело к тому	2	1
