N	4gram	Losev_Prob_3	Stilisti
1	одно и то же	3	4
2	мы имели в виду	1	2
3	не что иное как	4	2
4	то же самое время	4	2
5	как бы мы ни	1	2
6	в тех случаях когда	1	2
7	есть не что иное	4	2
8	в то же самое	4	2
9	только благодаря тому что	1	1
10	возникновения и развития языка	1	1
11	одного и того же	1	1
12	тех случаях когда мы	1	1
13	в таких словах как	1	1
14	в собственном смысле слова	1	1
15	само по себе не	1	1
16	только тогда когда мы	1	1
17	и не было бы	1	1
18	но возможно также и	1	1
19	прежде всего мы должны	1	1
20	бросается в глаза и	1	1
21	на то или иное	1	1
22	не просто отражает действительность	1	1
23	и в этом случае	3	1
24	мы уже видели что	1	1
25	одним и тем же	1	1
