N	3gram	Trubetskoy_1	Otkroven
1	у него в	1	5
2	для того чтобы	7	3
3	никогда не было	1	2
4	а не в	1	2
5	это было бы	1	2
6	что у него	1	2
7	не может быть	3	2
8	как и все	2	2
9	смысле этого слова	1	1
10	по сравнению с	5	1
11	хотя и не	1	1
12	не в том	1	1
13	указывали на то	1	1
14	от всех тех	1	1
15	а это было	1	1
16	это потому что	1	1
17	друг к другу	2	1
18	но в этой	1	1
19	в самом деле	5	1
20	и в том	2	1
21	и не очень	1	1
22	никто не может	1	1
23	все та же	1	1
24	между этими двумя	2	1
25	и не может	1	1
26	во всяком случае	2	1
27	том случае если	4	1
28	о том что	4	1
29	ко всему этому	2	1
30	и все это	1	1
31	есть одно из	1	1
32	заключает в себе	2	1
33	чтобы все эти	2	1
34	в том что	15	1
35	на то что	7	1
36	в самой природе	1	1
37	в том случае	4	1
38	и то что	3	1
39	друг с другом	9	1
40	вместо того чтобы	1	1
41	или лучше сказать	1	1
42	и все что	2	1
43	как и в	2	1
