N	3gram	Savitsky_P_1	Problema
1	и т д	1	10
2	для того чтобы	1	8
3	в этом смысле	1	6
4	в том что	4	5
5	в то же	7	4
6	более или менее	1	3
7	с точки зрения	3	3
8	сами по себе	3	3
9	во всяком случае	1	3
10	и тем самым	1	3
11	в настоящее время	1	3
12	с другой стороны	1	3
13	сливаются в одно	1	2
14	и то что	1	2
15	так же как	1	2
16	и в этом	1	2
17	не может быть	1	2
18	тем и другим	1	2
19	нужно помнить что	2	1
20	вместе с тем	1	1
21	в настоящую минуту	1	1
22	бы оно ни	1	1
23	есть прежде всего	1	1
24	начала и конца	1	1
25	тот или иной	1	1
26	мы не будем	1	1
27	и в то	2	1
28	прежде чем говорить	1	1
29	только в ее	1	1
30	все это в	1	1
31	если бы мы	1	1
32	но в то	1	1
33	не только в	4	1
34	только в виде	1	1
35	в известном смысле	1	1
36	чем говорить о	1	1
37	не было бы	1	1
38	в определенный момент	1	1
39	заключается в том	2	1
40	если мы не	1	1
41	она не только	1	1
42	и тем более	1	1
43	не только это	2	1
44	в душе своей	1	1
45	в настоящий момент	3	1
46	в сравнении с	3	1
47	в отдельности и	1	1
