N	3gram	Bakhtin_Fr_1	Literetu
1	то же время	1	7
2	в то же	1	7
3	в этом отношении	3	5
4	в отличие от	4	5
5	к тому же	1	5
6	по отношению к	1	4
7	с одной стороны	2	4
8	в том что	6	4
9	в том числе	10	3
10	с точки зрения	3	3
11	не может быть	1	3
12	к себе самому	2	2
13	в самом деле	1	2
14	но и в	2	2
15	том числе и	7	2
16	и в частности	2	2
17	не только в	1	2
18	с другой стороны	1	2
19	в одном из	1	2
20	той или иной	5	2
21	для него не	1	1
22	это уже не	3	1
23	в той или	5	1
24	на самом деле	2	1
25	одно из самых	1	1
26	речевого общения между	1	1
27	так и не	3	1
28	друг от друга	1	1
29	и не только	1	1
30	жизни в ее	1	1
31	на все моменты	1	1
32	и не стал	1	1
33	во второй половине	2	1
34	к человеку и	1	1
35	были своего рода	1	1
36	несмотря на его	1	1
37	но это не	1	1
38	может быть только	1	1
39	некоторые из них	1	1
40	то что было	1	1
41	как раз в	1	1
42	в значительной степени	2	1
43	в самом начале	1	1
44	но при этом	1	1
45	в жизнь и	1	1
46	в основе этих	1	1
47	в xix веке	1	1
48	в связи с	1	1
49	со второй половины	2	1
50	по своей сущности	1	1
51	в целом ряде	1	1
52	но не только	1	1
53	как бы в	1	1
54	для того чтобы	1	1
55	и в том	2	1
56	числе и в	1	1
57	начало и конец	1	1
58	в этой системе	1	1
59	это как бы	1	1
60	самой жизнью в	1	1
61	в отношении к	1	1
62	и подобные им	1	1
63	в какой-то мере	1	1
64	но еще и	1	1
