N	3gram	Bakhtin_sl_2	Myshleni
1	мышления и речи	2	18
2	в том что	4	17
3	для того чтобы	2	7
4	в отличие от	12	6
5	с самого начала	1	6
6	в собственном смысле	3	6
7	в зависимости от	4	5
8	с одной стороны	5	5
9	тот факт что	2	5
10	в связи с	2	5
11	мы уже говорили	1	5
12	как уже сказано	2	5
13	тем не менее	1	5
14	во всяком случае	2	4
15	о том что	1	3
16	сами по себе	1	3
17	в этом отношении	3	3
18	с другой стороны	1	3
19	мы видели что	1	3
20	на то что	1	3
21	как мы видели	1	3
22	имеет дело с	1	2
23	по отношению к	4	2
24	на первый план	1	2
25	и речи в	1	2
26	включает в себя	2	2
27	не может быть	15	2
28	того или иного	1	2
29	так и в	3	2
30	в свою очередь	2	2
31	точки зрения на	1	2
32	и все остальные	1	2
33	той или иной	5	2
34	как мы уже	2	2
35	как и в	1	2
36	но независимо от	1	1
37	том что в	1	1
38	для этого процесса	1	1
39	том что она	1	1
40	в действии и	1	1
41	даже там где	1	1
42	становится таким образом	1	1
43	более или менее	2	1
44	в том числе	1	1
45	чтобы прийти к	1	1
46	влечет за собой	1	1
47	в этом случае	6	1
48	только в смысле	1	1
49	с точки зрения	3	1
50	до сих пор	2	1
51	мы говорили в	1	1
52	этих моментов и	1	1
53	хотя бы и	2	1
54	самая постановка вопроса	1	1
55	и в чисто	1	1
56	между тем как	1	1
57	во всех этих	1	1
58	слова от его	1	1
59	том числе и	1	1
60	основе его лежит	1	1
61	в процессе свободного	1	1
62	могли бы быть	1	1
63	факт что уже	1	1
64	и связанные с	2	1
65	в применении к	1	1
66	в процессе развития	1	1
67	в основе его	2	1
68	не только в	2	1
69	приходится иметь дело	2	1
70	мы не знаем	1	1
71	значительной степени и	1	1
72	в значительной степени	6	1
73	и не могут	1	1
74	во всей ее	1	1
75	не могут быть	2	1
76	всяком случае не	1	1
77	все более и	1	1
78	общения с ним	1	1
79	друг к другу	1	1
80	уходит своими корнями	2	1
81	значение не в	1	1
82	при этом с	1	1
83	с ним но	1	1
84	по себе а	1	1
85	мы не можем	1	1
86	человека и его	2	1
87	конкретного к абстрактному	1	1
88	более и более	1	1
89	и остается в	1	1
90	и как мы	1	1
91	в известной степени	1	1
92	но всегда и	1	1
93	развития все это	1	1
94	которые в таком	1	1
95	только в процессе	1	1
96	между словом и	3	1
97	сама по себе	3	1
98	снова и снова	1	1
99	всех этих случаях	1	1
100	в процессе его	1	1
101	с той или	1	1
102	в сущности как	1	1
103	мы увидим что	1	1
104	значение как в	1	1
