1	так и в	2	3
2	и не случайно	1	2
3	и как бы	1	2
4	в отличие от	6	2
5	в том что	17	2
6	точно так же	1	2
7	в данном случае	1	2
8	и в самом	1	2
9	о том что	3	2
10	с первого же	1	2
11	к тому что	1	1
12	с самого начала	6	1
13	хотя бы и	1	1
14	за то что	1	1
15	смысле этого слова	4	1
16	не могут быть	1	1
17	и то что	2	1
18	по сравнению с	3	1
19	в применении к	1	1
20	все это говорит	1	1
21	в высшей степени	6	1
22	это говорит не	1	1
23	в этом случае	1	1
24	в связи с	5	1
25	и в этом	2	1
26	отнюдь не является	1	1
27	сам по себе	1	1
28	во всяком случае	4	1
29	не может быть	2	1
30	связаны между собой	1	1
31	это понятие в	1	1
32	в известной степени	1	1
33	и в сфере	2	1
34	факт что в	1	1
35	и не могли	1	1
36	имеет в виду	1	1
37	тем не менее	5	1
38	и хотя сам	1	1
39	ту же мысль	1	1
40	в таком виде	1	1
41	с тем и	4	1
42	и вместе с	2	1
43	в конце концов	1	1
44	создается впечатление что	1	1
45	как и в	2	1
46	в виду не	1	1
47	как и все	1	1
48	это мы видим	1	1
49	все же не	1	1
