N	4gram	Vygotskiy__2	Russkaja
1	в том случае если	1	3
2	с точки зрения этой	1	2
3	только для того чтобы	1	1
4	и с точки зрения	1	1
5	дело в том что	1	1
6	тот факт что при	1	1
7	но на самом деле	1	1
8	в том числе и	3	1
9	указывает на то что	1	1
10	что с точки зрения	1	1
11	в тот или иной	1	1
12	совершенно ином виде чем	1	1
13	бы то ни было	1	1
14	и более или менее	1	1
15	по самому своему существу	1	1
16	и в некоторых других	1	1
17	заключается в том что	4	1
18	в совершенно ином виде	1	1
19	с точки зрения этих	1	1
20	несмотря на то что	1	1
