N	2gram	Tiupa_Anal_2	Istorich
1	и в	16	24
2	не только	16	21
3	и т	1	17
4	этих случаях	2	16
5	т е	2	16
6	может быть	6	14
7	не может	4	14
8	что в	2	13
9	в этих	2	13
10	мы имеем	3	12
11	как в	4	12
12	в этом	18	12
13	в ином	1	12
14	и здесь	1	12
15	но и	12	11
16	это не	1	10
17	том что	12	10
18	и что	1	10
19	у него	4	10
20	мы видим	1	10
21	а в	3	10
22	с другой	6	9
23	не в	4	9
24	о том	7	9
25	потому что	1	9
26	то же	4	8
27	еще не	2	8
28	что и	3	8
29	так как	1	8
30	другой стороны	2	8
31	а не	10	8
32	все это	4	8
33	или в	3	8
34	во всех	4	7
35	то что	7	7
36	в первую	1	7
37	таким образом	2	7
38	одна из	1	7
39	с собой	1	7
40	к нему	1	7
41	что здесь	1	7
42	один из	2	7
43	в том	12	7
44	вместе с	2	7
45	но не	4	6
46	как он	1	6
47	в нем	1	6
48	он не	2	6
49	всех этих	1	6
50	об этом	1	6
51	как и	14	6
52	для нас	1	6
53	и все	3	6
54	того что	2	6
55	только в	4	6
56	ответ на	3	6
57	тем что	3	6
58	так же	2	6
59	с этой	1	6
60	в чем	1	5
61	с одной	5	5
62	но в	6	5
63	что она	2	5
64	не менее	4	5
65	с ним	2	5
66	дело не	2	5
67	ничего не	9	5
68	так и	15	5
69	представляют собой	2	5
70	одной стороны	4	5
71	в тех	1	5
72	тот кто	2	5
73	героя и	1	5
74	мы уже	1	4
75	представляет собой	8	4
76	тех случаях	1	4
77	как бы	10	4
78	при этом	10	4
79	точки зрения	4	4
80	в их	3	4
81	своего рода	12	4
82	тем не	3	4
83	по существу	2	4
84	не имеет	2	4
85	никогда не	3	4
86	со своим	3	4
87	на вопрос	1	4
88	ли он	1	4
89	то и	1	4
90	вовсе не	2	4
91	если не	1	4
92	в данном	8	4
93	в состоянии	2	4
94	и не	12	4
95	случаях когда	1	4
96	мы должны	1	4
97	одной из	3	4
98	не вполне	1	3
99	и он	2	3
100	в ответ	2	3
101	с его	1	3
102	тогда как	19	3
103	себе и	1	3
104	этой стороны	1	3
105	хотя и	4	3
106	когда он	1	3
107	и наконец	1	3
108	из этих	1	3
109	на то	2	3
110	если он	1	3
111	и если	3	3
112	и по	1	3
113	его в	2	3
114	в них	1	3
115	которой он	1	3
116	в конце	4	3
117	как мы	3	3
118	тогда когда	1	3
119	не все	1	3
120	и его	4	3
121	связи с	1	3
122	из одного	1	3
123	должны быть	1	3
124	данном случае	5	3
125	не столько	3	3
126	в образе	1	3
127	еще одна	2	3
128	не знаю	2	3
129	в качестве	11	3
130	так что	3	3
131	уже в	1	3
132	не случайно	8	3
133	между прочим	1	3
134	и даже	9	3
135	превращается в	2	3
136	и стал	2	3
137	вступает в	2	3
138	этой точки	1	3
139	но это	1	3
140	от него	1	3
141	с ней	1	3
142	следующим образом	1	3
143	ее в	1	3
144	здесь и	1	2
145	со своей	1	2
146	по его	1	2
147	его не	1	2
148	на себя	5	2
149	и ее	1	2
150	пребывание в	1	2
151	того же	4	2
152	и на	6	2
153	что его	1	2
154	со стороны	3	2
155	стороны и	1	2
156	перед нами	1	2
157	в действительности	3	2
158	но эта	2	2
159	в самом	6	2
160	в которой	1	2
161	он в	4	2
162	все эти	1	2
163	еще один	1	2
164	рассказ о	1	2
165	и тот	1	2
166	после чего	1	2
167	вообще не	2	2
168	на его	3	2
169	прочим и	1	2
170	в силу	1	2
171	так например	2	2
172	в одну	2	2
173	том-то и	1	2
174	было бы	3	2
175	и тем	4	2
176	ни в	1	2
177	попадает в	3	2
178	этого не	1	2
179	в один	4	2
180	в котором	2	2
181	у того	1	2
182	к этому	2	2
183	не его	1	2
184	что этот	1	2
185	для нее	2	2
186	нас к	2	2
187	тому что	1	2
188	она не	2	2
189	вплоть до	1	2
190	в таких	2	2
191	в то	2	2
192	и другое	1	2
193	тому кто	1	2
194	на него	2	2
195	на войне	1	2
196	и после	1	2
197	его за	1	2
198	что при	1	2
199	но при	1	2
200	в ее	1	2
201	и исторически	1	2
202	ли и	1	2
203	имеется в	1	2
204	с героем	1	2
205	на небесах	3	2
206	все его	1	2
207	восходит к	1	2
208	тем более	1	2
209	тот же	1	2
210	вступление в	1	2
211	этот вопрос	1	2
212	уже не	4	2
213	только на	3	2
214	или даже	2	2
215	из них	3	2
216	ни с	2	2
217	не так	4	2
218	как такой	1	2
219	прежде всего	3	2
220	к ним	1	2
221	героя а	1	2
222	на этот	2	2
223	что тот	1	2
224	говорит о	5	2
225	в связи	1	2
226	но оно	1	2
227	в том-то	1	2
228	как это	6	2
229	при переходе	2	2
230	и там	1	2
231	в литературе	1	2
232	довольно много	1	2
233	и такие	1	2
234	и о	1	2
235	в основном	1	2
236	отличается от	1	2
237	к женщине	1	2
238	сказать что	2	2
239	в отдельности	1	2
240	знаю что	2	2
241	точно так	1	2
242	и наиболее	1	1
243	на своих	1	1
244	отношения к	2	1
245	самом деле	1	1
246	как известно	1	1
247	говорилось выше	1	1
248	и должны	1	1
249	бы для	1	1
250	к этой	1	1
251	этого мира	1	1
252	между двумя	4	1
253	из его	2	1
254	сам автор	1	1
255	и больше	1	1
256	в несколько	1	1
257	есть не	1	1
258	случае это	1	1
259	что иное	1	1
260	я не	1	1
261	ему в	3	1
262	частный случай	1	1
263	более или	1	1
264	собой в	2	1
265	он был	2	1
266	миф о	1	1
267	не хотелось	1	1
268	его личной	1	1
269	тем как	1	1
270	иного рода	2	1
271	якобы и	1	1
272	иных случаях	1	1
273	совсем не	1	1
274	то он	1	1
275	о смерти	1	1
276	об этих	2	1
277	и всякий	1	1
278	по отношению	4	1
279	тут же	1	1
280	сама по	1	1
281	один и	1	1
282	независимо от	1	1
283	встречи с	2	1
284	он взял	1	1
285	в своем	4	1
286	и как	1	1
287	и к	5	1
288	самом начале	3	1
289	имеет в	1	1
290	искусство и	1	1
291	не приходится	1	1
292	в целом	8	1
293	мне не	1	1
294	эти более	1	1
295	в главе	1	1
296	в этой	9	1
297	в известном	1	1
298	однако как	2	1
299	в наших	1	1
300	полный и	1	1
301	бы от	1	1
302	интерес представляет	1	1
303	обращаясь к	2	1
304	состоит в	8	1
305	характер в	1	1
306	несколько ниже	1	1
307	не подтверждается	1	1
308	как кажется	1	1
309	что ни	1	1
310	и вышел	1	1
311	и за	3	1
312	в каждом	1	1
313	же не	2	1
314	в совершенно	1	1
315	в другом	1	1
316	них не	2	1
317	а как	2	1
318	входит в	1	1
319	на протяжении	2	1
320	первый случай	1	1
321	и смерти	4	1
322	далеко не	1	1
323	того свою	1	1
324	со своими	1	1
325	автора и	3	1
326	обратимся к	1	1
327	не мог	3	1
328	с первых	1	1
329	или менее	1	1
330	но если	1	1
331	от своего	2	1
332	и при	1	1
333	в своей	2	1
334	этой связи	1	1
335	я его	2	1
336	взгляд на	1	1
337	и третий	1	1
338	с точки	2	1
339	от себя	1	1
340	что я	1	1
341	здесь приобретает	1	1
342	при рассмотрении	1	1
343	и более	1	1
344	и наоборот	2	1
345	и то	3	1
346	по себе	2	1
347	случае в	3	1
348	таких случаях	1	1
349	подтверждается и	1	1
350	тем самым	4	1
351	хотелось бы	1	1
352	мышления и	1	1
353	которого он	1	1
354	для всего	1	1
355	он с	1	1
356	имеет отношение	1	1
357	смысл его	1	1
358	того и	2	1
359	его от	3	1
360	имеем дело	3	1
361	герою он	1	1
362	в противоречие	1	1
363	именно она	1	1
364	как она	1	1
365	в окно	2	1
366	часто с	1	1
367	в сознании	4	1
368	светила в	1	1
369	обращает на	3	1
370	она обладает	1	1
371	как будто	3	1
372	особое внимание	1	1
373	до смерти	1	1
374	смертельную опасность	1	1
375	прямо говорит	1	1
376	здесь совершенно	1	1
377	же самое	1	1
378	всего в	2	1
379	к тому	7	1
380	так она	1	1
381	указывает на	1	1
382	если же	1	1
383	для себя	1	1
384	в ситуации	3	1
385	имеет никаких	1	1
386	на основе	2	1
387	второй половине	1	1
388	здесь также	1	1
389	сводится к	3	1
390	но мы	1	1
391	если они	1	1
392	и сам	3	1
393	на конце	3	1
394	продолжает жить	1	1
395	можно было	3	1
396	те же	2	1
