N	2gram	Tiupa_Anal_3	VeschiIm
1	не есть	4	49
2	не может	2	33
3	не только	22	31
4	может быть	9	29
5	и не	12	28
6	и в	18	26
7	то что	2	24
8	и есть	1	23
9	а не	9	20
10	что имя	1	19
11	в имени	2	15
12	что она	2	14
13	только в	2	14
14	по себе	4	13
15	того что	1	13
16	есть не	2	12
17	все же	4	12
18	в себя	2	12
19	было бы	3	12
20	и ее	2	12
21	но и	13	12
22	сказать что	2	12
23	а и	4	11
24	таким образом	4	11
25	с нею	2	11
26	то же	3	10
27	в ней	2	10
28	как бы	10	10
29	потому что	1	10
30	уже не	5	10
31	что мы	2	10
32	в самом	5	9
33	в том	9	9
34	что не	3	9
35	еще и	3	9
36	прежде всего	5	9
37	есть явление	1	9
38	что иное	1	8
39	с ее	3	8
40	иное как	1	8
41	в себе	2	8
42	на то	1	8
43	ничего не	3	8
44	себя и	1	8
45	но это	1	8
46	не что	1	8
47	говорить о	3	7
48	в этом	14	7
49	не будет	3	7
50	его в	3	7
51	с другими	1	7
52	том что	12	7
53	в то	3	7
54	со своим	1	7
55	указывает на	3	7
56	д и	1	7
57	себя в	4	7
58	и их	1	7
59	как раз	7	7
60	от всего	1	7
61	совершенно не	2	7
62	есть и	1	7
63	со стороны	9	6
64	что они	3	6
65	и как	4	6
66	но в	2	6
67	бы и	2	6
68	точки зрения	3	6
69	но если	1	6
70	по крайней	4	6
71	с ним	1	6
72	оно есть	1	6
73	должно быть	1	6
74	и только	1	6
75	крайней мере	4	6
76	а если	1	6
77	есть ни	1	6
78	так что	1	6
79	для него	6	6
80	когда мы	2	6
81	в результате	5	6
82	жизни и	1	6
83	что в	9	6
84	того же	5	5
85	это и	2	5
86	и до	1	5
87	в сущности	5	5
88	на себя	2	5
89	но не	7	5
90	отнюдь не	4	5
91	как к	2	5
92	это не	2	5
93	с тем	2	5
94	не в	6	5
95	тем не	2	5
96	не менее	4	5
97	одна из	2	5
98	имени и	1	5
99	у нас	1	5
100	собственное имя	1	5
101	для себя	1	5
102	свою очередь	4	5
103	в ее	3	5
104	если бы	1	5
105	для этого	1	5
106	еще не	6	5
107	с этой	1	5
108	и для	2	5
109	а в	10	5
110	в свою	5	5
111	мы не	3	4
112	я не	1	4
113	как я	1	4
114	в их	6	4
115	во всех	2	4
116	независимо от	1	4
117	с этим	3	4
118	в своем	4	4
119	не предполагает	2	4
120	на почве	1	4
121	как и	14	4
122	с точки	2	4
123	на себе	1	4
124	же время	3	4
125	и о	1	4
126	о том	6	4
127	с другой	7	4
128	что и	5	4
129	этот вопрос	1	4
130	тем что	2	4
131	и даже	8	4
132	и потому	2	4
133	в данном	4	4
134	в отдельности	1	4
135	с полной	1	4
136	и все	2	4
137	между ними	1	4
138	оно не	1	4
139	сам по	1	3
140	самом деле	2	3
141	к другому	1	3
142	отношения к	2	3
143	мы имеем	5	3
144	вопрос о	1	3
145	есть энергия	1	3
146	внутри себя	1	3
147	себе не	1	3
148	вопроса о	2	3
149	в нем	2	3
150	подобно тому	3	3
151	могла бы	2	3
152	в жизни	2	3
153	реальности и	1	3
154	есть имя	2	3
155	несмотря на	2	3
156	и тогда	1	3
157	в своей	1	3
158	все это	3	3
159	между прочим	1	3
160	как можно	1	3
161	как о	1	3
162	в основе	1	3
163	само по	1	3
164	того чтобы	1	3
165	или как	1	3
166	имя как	1	3
167	к себе	1	3
168	к тому	6	3
169	нет никакой	1	3
170	и сам	4	3
171	так и	14	3
172	о ней	1	3
173	можно сказать	4	3
174	от сущности	1	3
175	один из	2	3
176	тот же	1	3
177	что он	4	3
178	но как	3	3
179	сама по	2	3
180	в одном	4	3
181	отношение к	1	3
182	можно с	1	3
183	никогда не	5	3
184	эти две	1	3
185	а с	1	3
186	она является	1	3
187	вместе с	2	3
188	в той	2	3
189	тому как	2	3
190	да и	2	3
191	себя самого	1	3
192	бы в	1	3
193	тем более	1	3
194	хотя бы	1	3
195	я в	5	3
196	же самой	1	3
197	с самим	2	3
198	по законам	1	2
199	от этого	1	2
