N	3gram	Tiupa_Hudo_1	OGranits
1	с точки зрения	3	5
2	не может быть	3	4
3	по отношению к	9	3
4	одно и то	3	3
5	что иное как	1	2
6	материала в искусстве	1	2
7	с одной стороны	2	2
8	и то же	3	2
9	с другой стороны	5	2
10	того или иного	3	2
11	есть не что	1	2
12	не что иное	1	2
13	в том что	7	2
14	точки зрения и	1	1
15	с ними и	1	1
16	организации художественного произведения	1	1
17	что в основе	2	1
18	этой точки зрения	1	1
19	в хх веке	1	1
20	иметь в виду	1	1
21	в виду что	1	1
22	более или менее	5	1
23	подобно тому как	1	1
24	то же самое	1	1
25	в его эстетической	1	1
26	одно из проявлений	1	1
27	во всей своей	1	1
28	можно говорить о	1	1
29	в отличие от	7	1
30	только то что	1	1
31	следует иметь в	1	1
32	ни одно слово	2	1
33	может быть и	2	1
34	эстетического объекта и	1	1
35	с этой точки	1	1
36	то или иное	1	1
37	по себе а	1	1
38	ту или иную	1	1
39	для того чтобы	2	1
40	отношений между людьми	1	1
41	в особенности в	1	1
42	так же как	1	1
43	но в действительности	1	1
44	если говорить о	1	1
45	состоит в том	5	1
46	не входит в	1	1
47	тем не менее	3	1
48	в одном случае	1	1
49	в связи с	1	1
50	прежде всего в	1	1
51	в организации художественного	1	1
52	все то что	1	1
53	его можно лишь	1	1
54	то же время	5	1
55	так же точно	1	1
56	может быть это	1	1
57	та или иная	1	1
58	собственно говоря и	1	1
59	и т.д как	1	1
60	в конечном счете	5	1
61	в то же	5	1
62	к тому что	2	1
63	тех или иных	2	1
64	всей своей полноте	1	1
65	человека и его	1	1
66	как и в	1	1
67	можно лишь путем	1	1
68	которого только и	1	1
