N	2gram	Ircho_Kome_1	Myshleni
1	и в	22	25
2	в том	11	23
3	том что	12	20
4	таким образом	8	17
5	так же	3	17
6	что в	6	17
7	с тем	1	16
8	как и	9	15
9	в его	5	15
10	то что	2	15
11	в этом	3	14
12	вместе с	2	14
13	может быть	9	13
14	в целом	3	13
15	так как	4	12
16	в качестве	4	12
17	на основании	3	11
18	по своему	3	11
19	что они	4	10
20	перед нами	1	10
21	и что	1	10
22	что и	4	10
23	было бы	2	10
24	того что	1	10
25	только в	3	10
26	как бы	1	10
27	и не	8	10
28	мы не	3	9
29	ни в	6	9
30	как в	5	9
31	как мы	4	8
32	того чтобы	1	8
33	тем что	4	8
34	столь же	2	7
35	по своей	2	7
36	понятий и	1	7
37	по себе	1	7
38	в области	2	7
39	уже в	5	7
40	мы можем	4	7
41	для того	1	7
42	как это	3	7
43	же как	3	6
44	того же	2	6
45	высшей степени	1	6
46	совпадает с	1	6
47	зависимости от	1	6
48	и на	3	6
49	но не	2	6
50	потому что	5	6
51	представляет собой	1	6
52	не только	10	6
53	в силу	2	6
54	в высшей	1	6
55	не может	2	6
56	мы видели	2	6
57	точки зрения	4	6
58	в отличие	1	6
59	не в	6	6
60	в отношении	6	6
61	не менее	3	6
62	самого начала	1	6
63	с самого	1	6
64	можно было	1	6
65	один из	5	6
66	что он	6	6
67	отличие от	2	6
68	и у	3	6
69	с другой	5	6
70	слова и	1	6
71	в основном	1	6
72	все это	5	6
73	все же	3	6
74	одним из	1	5
75	в зависимости	1	5
76	мы уже	1	5
77	с ее	2	5
78	и как	3	5
79	и к	1	5
80	что это	1	5
81	что она	1	5
82	при этом	5	5
83	к одному	1	5
84	и по	6	5
85	на этой	1	5
86	между отдельными	1	5
87	тем не	2	5
88	и другое	1	5
89	но это	2	5
90	могут быть	3	5
91	о том	8	5
92	так и	5	5
93	в этой	7	5
94	в пользу	1	5
95	показывают что	1	5
96	с одной	3	5
97	именно в	4	5
98	из которых	2	5
99	одной стороны	3	5
100	тем же	1	4
101	время как	4	4
102	еще не	2	4
103	отнюдь не	1	4
104	так называемая	1	4
105	в своем	1	4
106	из этих	1	4
107	в известном	2	4
108	на то	3	4
