N	2gram	Medvedev_U_1	Russkaja
1	не может	7	22
2	и не	8	19
3	в том	2	17
4	в этом	7	17
5	и в	14	14
6	с другом	1	14
7	друг с	1	14
8	то что	7	13
9	то же	5	11
10	таким образом	2	11
11	в то	3	10
12	же время	3	10
13	но и	4	10
14	в себе	2	9
15	не только	10	9
16	том что	2	9
17	может быть	6	9
18	прежде всего	8	8
19	как на	1	8
20	самом деле	2	7
21	отнюдь не	1	7
22	и с	2	7
23	в данном	1	7
24	о том	1	7
25	к которой	1	6
26	в своем	1	6
27	в россии	4	6
28	с тем	1	6
29	признать что	1	6
30	если бы	2	6
31	все это	5	6
32	и для	2	6
33	что он	2	6
34	для всех	2	6
35	для него	3	6
36	а между	2	5
37	на то	1	5
38	в нем	1	5
39	он не	1	5
40	было бы	3	5
41	в своей	3	5
42	никогда не	1	5
43	между тем	2	5
44	и только	5	5
45	только в	2	5
46	хотя бы	5	5
47	конечно не	4	5
48	в последние	1	5
49	до сих	2	5
50	из которых	1	5
51	по существу	2	5
52	сих пор	2	5
53	и то	3	4
54	бы то	3	4
55	но не	2	4
56	все же	3	4
57	более или	1	4
58	не в	2	4
59	в этой	4	4
60	тому чтобы	1	4
61	то ни	3	4
62	что такой	1	4
63	как и	3	4
64	или менее	1	4
65	в их	4	4
66	тогда когда	1	4
67	не могут	2	4
68	приводит к	1	4
69	и т.д	3	4
70	в его	2	4
71	он будет	1	4
72	что же	1	4
73	отказаться от	1	4
74	что в	1	4
75	все что	1	4
76	вряд ли	3	3
77	признание что	1	3
78	в самом	2	3
79	должно быть	1	3
80	всех этих	2	3
81	но если	1	3
82	что все	2	3
83	данном случае	1	3
84	для этого	3	3
85	сводится к	2	3
86	в значительной	1	3
87	что и	2	3
88	того что	1	3
89	в качестве	1	3
90	в виде	1	3
91	в конце	2	3
92	тем что	2	3
93	только к	3	3
94	что для	1	3
95	не было	1	3
96	и потому	1	3
97	этом случае	1	3
98	о котором	1	3
99	конце концов	2	3
100	все они	2	3
101	не есть	2	3
102	должна быть	2	2
103	но даже	2	2
104	в ней	1	2
105	в таком	1	2
106	существование в	1	2
107	но в	3	2
108	по себе	2	2
109	этого не	1	2
110	что такое	4	2
111	в котором	1	2
112	друг другу	1	2
113	их в	1	2
114	она не	1	2
115	только для	1	2
116	что с	1	2
117	у него	1	2
118	больше чем	1	2
119	и является	2	2
120	в области	3	2
121	для себя	1	2
122	значительной мере	1	2
123	с самим	1	2
124	даже не	1	2
125	в порядке	1	2
126	и что	1	2
127	это в	1	2
128	эта работа	1	2
129	что только	1	2
130	бы ни	1	2
131	уже не	1	2
132	его и	2	2
133	будет не	1	2
134	не о	3	2
135	мы можем	1	2
136	даже и	2	2
137	и даже	1	2
138	в некоторых	2	2
139	у других	1	2
140	а не	10	2
141	на эту	2	2
142	себя на	1	2
143	в частности	3	2
144	ни от	2	2
145	в течение	1	2
146	но это	2	2
147	но для	1	2
148	остается в	1	2
149	если не	2	2
150	ее в	1	2
151	в сфере	1	1
152	и действительно	1	1
153	без них	1	1
154	он может	1	1
155	свое место	1	1
156	противном случае	2	1
157	к созданию	1	1
158	их и	2	1
159	надо было	2	1
160	мы не	2	1
161	же как	1	1
162	а где	1	1
163	имеет свою	1	1
164	формы в	3	1
165	столько же	1	1
166	он был	1	1
167	ее к	1	1
168	к этому	1	1
169	отказ от	1	1
170	и тенденция	1	1
171	очевидно что	3	1
172	оно является	1	1
173	первый взгляд	1	1
174	в противном	2	1
175	что по	1	1
176	искусство и	1	1
177	в которой	1	1
178	то и	1	1
179	на его	1	1
180	не следует	3	1
181	о которой	1	1
182	они в	1	1
183	же остается	1	1
184	находит себе	1	1
185	тем в	1	1
186	об этом	1	1
187	то есть	1	1
188	говорить не	1	1
189	или даже	1	1
190	входит в	1	1
191	это не	3	1
192	другом не	1	1
193	все черты	1	1
194	со своими	1	1
195	нет и	1	1
196	иначе говоря	1	1
197	на первый	2	1
198	все элементы	1	1
199	не столько	2	1
200	в которых	1	1
201	по крайней	2	1
202	ни было	3	1
203	и вся	1	1
204	задачи и	1	1
205	у кого	1	1
206	и форм	1	1
207	сколько и	1	1
208	наталкиваемся на	1	1
209	это же	1	1
210	это то	1	1
211	этом отношении	2	1
212	или иных	2	1
213	если у	1	1
214	по нашему	3	1
215	исходить из	1	1
216	могут быть	2	1
217	же самое	2	1
218	что при	1	1
219	от которой	1	1
220	и материал	1	1
221	не поднимается	1	1
222	и это	1	1
223	только возможно	1	1
224	но по	1	1
225	только при	1	1
226	у тех	1	1
227	идет не	1	1
228	степени и	1	1
229	это для	1	1
230	так и	1	1
231	ничего подобного	1	1
232	можно сказать	1	1
233	в различных	1	1
234	с другой	4	1
235	переходит в	1	1
236	крайней мере	2	1
237	обе эти	1	1
238	работы по	2	1
239	неудивительно что	2	1
240	в сторону	2	1
241	и у	2	1
242	вопроса о	2	1
243	а это	1	1
244	представляется чрезвычайно	1	1
245	конечно нет	2	1
246	не для	1	1
247	превращается в	2	1
248	не простой	1	1
249	бы это	1	1
250	и прежде	1	1
251	быть тем	1	1
252	до конца	1	1
253	как элемент	1	1
254	в преодолении	1	1
255	чем то	1	1
256	встречается у	1	1
257	смысле этого	2	1
258	быть не	1	1
259	материал для	2	1
260	себе еще	1	1
261	является оно	1	1
262	тех или	2	1
263	при таком	2	1
264	работе есть	1	1
265	мировоззрение в	1	1
266	бы в	1	1
267	тем более	1	1
268	и все	1	1
269	на роль	1	1
270	приходится признать	2	1
271	психики и	1	1
272	а о	2	1
273	о сущности	1	1
274	этого и	1	1
