N	2gram	Berdyaev_M_2	Myshleni
1	точки зрения	2	26
2	в том	3	24
3	и в	46	23
4	том что	4	21
5	в целом	1	20
6	с точки	1	18
7	в этом	20	17
8	того чтобы	4	17
9	то что	5	17
10	не только	18	16
11	так же	6	16
12	того что	6	15
13	для того	5	15
14	как и	13	14
15	может быть	21	14
16	но и	15	14
17	в его	5	14
18	что в	4	14
19	в развитии	1	12
20	не может	15	12
21	сказать что	3	11
22	как бы	8	11
23	в отношении	5	10
24	с другой	1	10
25	прежде всего	12	10
26	и с	3	9
27	между тем	2	9
28	вместе с	2	9
29	и не	18	9
30	то же	5	8
31	нас к	1	8
32	в основе	2	8
33	и на	3	8
34	мы не	1	7
35	вопрос о	6	7
36	по отношению	2	7
37	в самом	5	7
38	в этой	7	7
39	в другом	1	7
40	с тем	1	7
41	и ее	1	7
42	так как	8	7
43	что он	7	7
44	отношению к	2	7
45	же как	3	6
46	в сущности	2	6
47	все это	1	6
48	независимо от	1	6
49	с этим	1	6
50	могли бы	1	6
51	в себе	10	6
52	лишь в	2	6
53	и тем	1	6
54	с этой	1	6
55	по сравнению	1	6
56	и его	5	6
57	о том	3	6
58	учения о	1	6
59	все время	2	6
60	только в	3	6
61	тем что	3	6
62	от того	3	6
63	потому что	12	6
64	сравнению с	1	5
65	бы в	2	5
66	и как	1	5
67	но в	10	5
68	на то	1	5
69	он не	10	5
70	и более	1	5
71	если бы	3	5
72	для этого	4	5
73	по себе	2	5
74	тому что	4	5
75	по своей	3	5
76	и что	2	5
77	так и	4	5
78	и все	5	5
79	мы должны	1	5
80	из этого	1	5
81	в какой	1	5
82	в своих	3	5
83	в котором	1	4
84	высшей степени	3	4
85	в чем	3	4
86	с его	4	4
87	как в	7	4
88	все остальные	1	4
89	целый ряд	1	4
90	говорит что	2	4
91	и к	7	4
92	все эти	1	4
93	что она	5	4
94	отношений между	1	4
95	их в	1	4
96	что все	5	4
97	было бы	1	4
98	ни в	3	4
99	в высшей	3	4
100	в своей	5	4
101	не в	9	4
102	о природе	1	4
103	этом отношении	1	4
104	к тому	5	4
105	должен быть	4	4
106	для себя	1	4
107	приводит к	1	4
108	мы видим	2	4
109	только что	1	4
110	ее на	1	4
111	до сих	3	4
112	а с	1	4
113	этого слова	1	4
114	сих пор	3	4
115	она должна	1	4
116	хотя бы	7	4
117	в свою	4	4
118	к этому	1	4
119	как на	1	4
120	смысле слова	3	3
121	отношения к	2	3
122	в сфере	2	3
123	человека и	7	3
124	в такой	3	3
125	сам по	2	3
126	и то	1	3
127	самом деле	1	3
128	с таким	2	3
129	приходит к	2	3
130	я не	5	3
131	в новом	1	3
132	что они	3	3
133	которые не	1	3
134	в своем	8	3
135	в которой	2	3
136	что это	6	3
137	он в	3	3
138	как он	3	3
139	и если	2	3
140	его не	2	3
141	на все	3	3
142	в которых	1	3
143	должны были	1	3
144	она не	8	3
145	тогда когда	2	3
146	в самых	1	3
147	ничего не	2	3
148	во всем	5	3
149	и это	5	3
150	не могу	6	3
151	можно было	2	3
152	об этом	1	3
153	и который	1	3
154	может не	1	3
155	в новых	2	3
156	связи с	2	3
157	уже в	2	3
158	и других	2	3
159	в природе	1	3
160	во всех	2	3
161	превращается в	2	3
162	а не	13	3
163	смысле этого	1	3
