N	2gram	Trubetskoy_1	Dialekti
1	не есть	3	40
2	и не	19	30
3	это –	1	25
4	или от	2	22
5	и есть	2	19
6	а не	2	18
7	и т	3	17
8	может быть	9	17
9	то что	13	16
10	стало быть	1	15
11	и в	14	15
12	как бы	4	14
13	точки зрения	11	14
14	так как	4	14
15	что это	3	13
16	по себе	2	13
17	это есть	2	13
18	того что	3	13
19	это не	1	12
20	в этом	17	11
21	и вот	2	11
22	говорить о	3	11
23	ясно что	2	11
24	в том	17	11
25	прежде всего	8	11
26	не может	22	11
27	и все	1	11
28	том что	9	10
29	в основе	1	10
30	потому что	5	10
31	с ее	1	10
32	личности и	1	10
33	это и	1	9
34	то же	11	9
35	мы не	1	9
36	было бы	5	9
37	с точки	9	9
38	и что	2	9
39	уже не	2	9
40	все это	6	9
41	не в	4	8
42	в себе	9	8
43	не только	9	8
44	ни в	2	8
45	и это	1	8
46	и о	2	8
47	иное как	1	8
48	должна быть	2	7
49	не просто	2	7
50	и мы	1	7
51	он есть	1	7
52	как и	4	7
53	по крайней	1	7
54	что оно	3	7
55	только в	5	7
56	крайней мере	1	7
57	или в	3	7
58	что он	6	7
59	что в	4	7
60	перед нами	1	6
61	и тем	2	6
62	надо чтобы	1	6
63	если бы	6	6
64	в то	10	6
65	же время	10	6
66	что и	3	6
67	так что	2	6
68	веры и	1	6
69	вовсе не	1	6
70	и даже	2	6
71	в результате	2	6
72	тем более	1	6
73	ни на	1	6
74	в сфере	1	5
75	в сущности	1	5
76	и на	5	5
77	только тогда	1	5
78	сама по	2	5
79	в своем	6	5
80	то в	3	5
81	на то	5	5
82	в нем	5	5
83	есть не	1	5
84	в жизни	1	5
85	что такое	2	5
86	же это	1	5
87	в ней	2	5
88	на себе	1	5
89	но только	1	5
90	того чтобы	8	5
91	тогда когда	4	5
92	таким образом	11	5
93	как только	1	5
94	о том	7	5
95	в себя	1	5
96	так и	1	5
97	личности на	1	5
98	можно сказать	1	5
99	именно в	3	5
100	в свете	1	5
101	они –	1	5
102	если мы	1	5
103	для того	6	5
104	как же	1	5
105	– не	2	5
106	в меру	2	5
107	– мы	1	5
108	и для	6	5
109	но если	3	5
110	есть то	1	5
111	также и	1	4
112	оно есть	1	4
113	хотя бы	5	4
114	что они	3	4
115	в этой	4	4
116	в течение	2	4
117	и как	3	4
118	в силу	2	4
119	то ни	4	4
120	и с	7	4
121	с тем	6	4
122	бытия и	1	4
123	на другую	1	4
124	она не	2	4
125	той или	3	4
126	чудо и	1	4
127	что все	3	4
128	идет речь	4	4
129	еще не	3	4
130	в его	4	4
131	оказывается что	1	4
132	мы должны	7	4
133	с ними	1	4
134	не о	2	4
135	отнюдь не	7	4
136	так же	2	4
137	но это	2	4
138	один из	1	4
139	тех или	1	4
140	бы в	1	4
141	или не	1	4
142	и познание	1	4
143	жизни и	4	4
144	но и	10	4
145	должны быть	1	4
146	себя как	2	3
147	отношения к	2	3
148	и то	4	3
149	так чтобы	3	3
150	а если	1	3
151	со стороны	4	3
152	надо было	1	3
153	есть личность	1	3
154	в истории	1	3
155	с этим	2	3
156	когда он	1	3
157	и наконец	2	3
158	но в	2	3
159	от этого	1	3
160	все эти	2	3
161	и если	7	3
162	в одну	1	3
163	об этом	1	3
164	мы уже	2	3
165	не всегда	1	3
166	всегда и	1	3
167	в данном	7	3
168	в один	1	3
169	в своей	5	3
170	чудо в	1	3
171	в их	4	3
172	возможно только	1	3
173	только для	2	3
174	мы можем	2	3
175	в чудо	1	3
176	та или	1	3
177	найти в	1	3
178	нет ни	1	3
179	есть только	1	3
180	могут быть	1	3
181	в собственном	1	3
182	и религии	1	3
183	быть и	2	3
184	для всех	6	3
185	без того	1	3
186	в виде	3	3
187	даже и	2	3
188	это будет	1	3
189	в области	2	3
190	себя и	5	3
191	что не	1	3
192	на основании	2	3
193	и потому	3	3
194	из которых	5	3
195	оно и	1	3
196	от него	2	3
197	с ним	2	3
198	в свою	1	3
199	совершенно не	2	3
200	есть и	2	3
201	будет ли	2	3
202	только не	1	3
203	тем самым	2	3
204	к этому	1	3
