N	3gram	Losev_Prob_5	VrazhdaK
1	и все же	1	5
2	то же время	1	4
3	в то же	1	4
4	как и у	2	3
5	в связи с	7	3
6	в русской литературе	3	3
7	с точки зрения	8	2
8	как раз в	1	2
9	но в то	1	2
10	не может быть	2	2
11	и о том	2	2
12	в том что	8	2
13	то что я	1	1
14	равно как и	2	1
15	в этом смысле	3	1
16	но для нас	1	1
17	до сих пор	2	1
18	в этом отношении	1	1
19	говорит о себе	1	1
20	но это не	1	1
21	к себе на	1	1
22	все же в	1	1
23	точно так же	3	1
24	с тех пор	1	1
25	по крайней мере	4	1
26	и то что	3	1
27	в это время	2	1
28	о том как	1	1
29	едва ли не	1	1
30	на первый взгляд	1	1
31	в конце концов	6	1
32	и в этом	1	1
33	что у человека	1	1
34	или по крайней	1	1
35	а с другой	3	1
36	не только как	1	1
37	все же не	3	1
38	во всяком случае	2	1
39	что у него	1	1
40	с другой стороны	5	1
41	связи с этим	1	1
42	тем не менее	5	1
43	в то время	3	1
44	это и есть	1	1
45	что в ней	1	1
46	о том что	9	1
47	и никогда не	2	1
48	уже в году	1	1
49	в ту эпоху	1	1
50	на то что	2	1
51	имеется в виду	1	1
