N	3gram	Ircho_Kome_1	Sovremen
1	в зависимости от	1	4
2	с самого начала	1	3
3	тем не менее	1	2
4	во всяком случае	2	2
5	в отличие от	1	2
6	так как он	1	2
7	то же самое	2	2
8	что иное как	1	1
9	в одном случае	1	1
10	по отношению к	3	1
11	он может быть	1	1
12	в новое время	2	1
13	так же как	1	1
14	до наших дней	1	1
15	до сих пор	2	1
16	то же время	4	1
17	представление о том	1	1
18	по аналогии с	1	1
19	бы то ни	2	1
20	а может быть	1	1
21	в и в	1	1
22	можно было бы	1	1
23	к одному и	1	1
24	и прежде всего	1	1
25	одна из них	1	1
26	в то же	4	1
27	не что иное	1	1
28	мы уже знаем	1	1
29	с новой силой	1	1
30	в том что	9	1
31	в этой области	1	1
32	в данном случае	1	1
33	может быть в	1	1
34	в обоих случаях	1	1
35	то ни было	2	1
36	с одной стороны	3	1
37	на этот раз	1	1
38	и тот же	1	1
