N	4gram	Vinokur_Ku_3	Psycholo
1	заключается в том что	1	7
2	одной и той же	1	4
3	и в самом деле	3	4
4	только в том случае	1	4
5	то же самое что	1	2
6	в то же время	1	2
7	совершенно ясно что в	1	1
8	никогда не может быть	1	1
9	и т п в	3	1
10	беда в том что	1	1
11	и не может быть	1	1
12	не зависит от его	1	1
13	в общем и целом	2	1
14	в том смысле что	1	1
15	если бы не было	1	1
16	и т п так	1	1
17	с этой точки зрения	1	1
18	с точки зрения их	1	1
19	во что бы то	1	1
20	тех пор пока мы	1	1
21	бы то ни стало	1	1
22	и тем не менее	3	1
23	одного и того же	2	1
24	что бы то ни	1	1
25	и тот же звук	1	1
26	а с другой стороны	1	1
27	до тех пор пока	4	1
28	в силу того что	1	1
29	в зависимости от того	3	1
30	один и тот же	2	1
31	ни на минуту не	1	1
