N	2gram	Propp_Morf_1	OGranits
1	и в	13	13
2	и его	1	12
3	прежде всего	9	9
4	может быть	52	8
5	не может	14	8
6	и не	12	8
7	в его	1	7
8	и их	2	7
9	и пр	37	7
10	точки зрения	2	7
11	только в	2	6
12	как бы	3	6
13	не только	4	6
14	то что	8	6
15	мы должны	3	6
16	таким образом	21	6
17	все же	7	5
18	и наконец	1	5
19	но ведь	1	5
20	с точки	2	5
21	хотя бы	4	5
22	мы не	8	4
23	но мы	3	4
24	тех пор	1	4
25	еще и	1	4
26	но в	2	4
27	вопроса о	1	4
28	мы можем	2	4
29	то же	7	4
30	в своей	1	4
31	было бы	3	4
32	в выборе	1	4
33	только и	1	4
34	не является	3	4
35	материала в	1	4
36	в каждом	1	4
37	вряд ли	2	3
38	связана с	3	3
39	и то	1	3
40	самом деле	4	3
41	в пределах	3	3
42	так и	6	3
43	г в	1	3
44	говорить о	3	3
45	по отношению	4	3
46	с этим	11	3
47	в которой	3	3
48	в себе	1	3
49	в одном	1	3
50	так как	16	3
51	одно и	1	3
52	здесь мы	3	3
53	материала и	1	3
54	но и	4	3
55	как и	3	3
56	точку зрения	1	3
57	что же	2	3
58	не в	3	3
59	но для	2	3
60	все вопросы	1	3
61	и для	2	3
62	и все	1	3
63	отношению к	4	3
64	не столько	1	3
65	что в	8	3
66	поставить вопрос	2	3
67	ничего общего	1	3
68	смысле слова	4	2
69	и др	10	2
70	данном случае	1	2
71	и может	1	2
72	которое может	2	2
73	и этот	1	2
74	конечно в	1	2
75	мы уже	1	2
76	те же	1	2
77	мог бы	1	2
78	если бы	2	2
79	не сумеем	2	2
80	с самого	1	2
81	ее в	1	2
82	а также	4	2
83	в чем	1	2
84	между тем	5	2
85	явлений и	1	2
86	во всей	1	2
87	что они	2	2
88	вслед за	5	2
89	чем же	1	2
90	случае и	1	2
91	как в	3	2
92	в данном	1	2
93	в этом	14	2
94	но так	1	2
95	в полном	1	2
96	в том	6	2
97	мы видим	13	2
98	с ними	1	2
99	в этот	1	2
100	в целом	3	2
101	и тем	2	2
102	все эти	2	2
103	с одной	1	2
104	учение о	3	2
105	мы получим	1	2
106	кажется что	1	2
107	связанные с	1	2
108	при этом	1	2
109	для него	1	2
110	в другом	2	2
111	вовсе не	4	2
112	тем что	4	2
113	в них	1	2
114	в области	1	2
115	и задача	1	2
116	с другой	8	2
117	всей своей	1	2
118	входит в	2	2
119	того или	1	2
120	она является	1	2
121	одной стороны	1	2
122	материал в	1	2
123	не на	2	2
124	а не	11	2
125	другой стороны	4	2
126	между собою	2	2
127	там где	5	2
128	несмотря на	4	2
129	в связи	9	2
130	этот материал	1	2
131	том что	4	2
132	с помощью	1	2
133	в г	1	2
134	и при	1	2
135	и ее	3	2
136	так же	3	2
137	но такое	2	2
138	в течение	1	2
139	в тех	6	2
140	с этой	1	2
141	выбор и	1	2
142	не менее	5	2
143	что эта	2	2
144	самого начала	1	2
