N	2gram	Medvedev_I_1	SlovoVZh
1	и в	1	12
2	по отношению	1	11
3	отношению к	1	11
4	и не	2	10
5	если бы	1	9
6	и др	1	5
7	никогда не	1	5
8	в этом	2	4
9	так и	1	4
10	с другой	1	4
11	жизни и	1	4
12	с героем	1	3
13	того что	1	3
14	в художественном	1	3
15	все эти	1	3
16	для него	1	3
17	и с	3	3
18	в них	1	3
19	художественного творчества	1	3
20	произведения и	1	3
21	все это	1	3
22	в материале	1	2
23	не остается	1	2
24	и та	1	2
25	для других	1	2
26	он не	2	2
27	не так	1	2
28	другой стороны	1	2
29	автора и	1	2
30	ничего не	2	2
31	как только	1	2
32	что в	2	2
33	и о	1	1
34	с жизнью	1	1
35	то она	1	1
36	в значительной	1	1
37	следующим образом	1	1
38	в целом	1	1
39	себя в	1	1
40	что для	1	1
41	от нее	1	1
42	а с	1	1
43	из подполья	1	1
44	и без	1	1
45	ненависть к	1	1
46	и тот	1	1
47	только для	1	1
48	точно и	1	1
49	как о	1	1
50	в основе	1	1
51	того чтобы	1	1
52	записок из	2	1
53	есть только	1	1
