N	3gram	Nazirov_Vr_1	TeoriaLi
1	в том что	2	6
2	то же время	4	6
3	в то же	4	6
4	с другой стороны	1	3
5	тем не менее	1	3
6	в свою очередь	1	3
7	в этом смысле	1	3
8	в соответствии с	1	2
9	с точки зрения	2	2
10	войне и мире	1	2
11	и то же	1	2
12	а с другой	1	2
13	одно и то	1	2
14	в войне и	1	2
15	то что они	1	2
16	не только не	1	2
17	в русской литературе	3	2
18	не может быть	2	2
19	а между тем	1	1
20	в е годы	1	1
21	уже говорилось выше	1	1
22	и в то	1	1
23	– это и	1	1
24	точно так же	1	1
25	по крайней мере	1	1
26	может быть и	1	1
27	как раз в	2	1
28	едва ли не	1	1
29	к вопросу о	1	1
30	в романе достоевского	1	1
31	в известном смысле	1	1
32	в связи с	3	1
33	как бы в	1	1
34	так же как	1	1
35	в то время	1	1
36	писал об этом	1	1
37	это и есть	1	1
38	на свое место	1	1
39	о том что	1	1
40	но в то	2	1
41	между тем это	1	1
42	он не только	2	1
