N	3gram	Ircho_Kome_3	Poddanst
1	в то же	4	7
2	то же время	4	7
3	в отношении к	1	5
4	в том что	9	4
5	с точки зрения	3	3
6	с одной стороны	3	3
7	и как раз	1	2
8	в том числе	1	2
9	одной стороны и	1	2
10	и в то	1	2
11	и если бы	1	2
12	насколько мы можем	1	1
13	чуть ли не	1	1
14	более или менее	1	1
15	в настоящее время	1	1
16	что из этой	1	1
17	и в этом	1	1
18	нет ничего более	1	1
19	и не может	1	1
20	в отличие от	1	1
21	за то что	1	1
22	а в качестве	1	1
23	вместе с тем	3	1
24	и в частности	1	1
25	потому что по	1	1
26	хотя и без	1	1
27	по сравнению с	2	1
28	во всяком случае	3	1
29	с другой стороны	2	1
30	до тех пор	3	1
31	закрывать глаза на	1	1
32	и тем более	1	1
33	именно потому что	2	1
34	на пути к	1	1
35	друг с другом	1	1
36	для того чтобы	6	1
37	на чужбине и	1	1
38	том числе и	1	1
39	и т д	1	1
