N	3gram	Tiupa_Anal_3	Morfolog
1	в этом случае	1	9
2	в связи с	1	8
3	не может быть	1	8
4	подобно тому как	2	5
5	по отношению к	7	4
6	с точки зрения	2	4
7	тем не менее	2	4
8	с другой стороны	5	4
9	как и в	4	3
10	на самом деле	1	3
11	не могут быть	1	3
12	в первом случае	1	3
13	с одной стороны	2	2
14	в большинстве случаев	1	2
15	тех случаях когда	1	2
16	с этого момента	1	2
17	после чего следует	1	2
18	для того чтобы	1	2
19	в отдельных случаях	1	2
20	получает в дар	1	2
21	в том что	7	2
22	в тех случаях	1	2
23	то что не	1	1
24	в таком случае	1	1
25	есть на самом	1	1
26	в то же	3	1
27	во многих отношениях	1	1
28	к этому же	1	1
29	что они хотят	1	1
30	можно сказать что	2	1
31	уже не может	1	1
32	то что они	1	1
33	здесь как и	1	1
34	дело не в	1	1
35	о том что	5	1
36	что несмотря на	2	1
37	а в качестве	1	1
38	том что он	2	1
39	и может быть	1	1
40	под углом зрения	1	1
41	не что иное	1	1
42	далеко не всегда	1	1
43	если например в	1	1
44	той или иной	3	1
45	это уже не	1	1
46	то же время	3	1
47	но и его	1	1
48	есть не что	1	1
49	в частности как	1	1
50	что иное как	1	1
51	на этот вопрос	1	1
52	в применении к	1	1
53	во всяком случае	2	1
54	и не всегда	1	1
55	что и в	1	1
56	в данном случае	3	1
57	как бы в	1	1
58	хотя и не	1	1
59	во втором случае	1	1
60	до сих пор	1	1
