N	3gram	Propp_Morf_1	SlovoVZh
1	по отношению к	4	11
2	не может быть	9	7
3	можно сказать что	1	5
4	в том что	3	4
5	тем не менее	4	3
6	бы то ни	3	3
7	может быть и	2	3
8	до сих пор	1	3
9	то ни было	2	3
10	и то же	1	2
11	в какой степени	1	2
12	на самом деле	4	2
13	с другой стороны	4	2
14	с точки зрения	2	2
15	до известной степени	1	2
16	одно и то	1	2
17	в данном случае	1	2
18	в настоящее время	3	2
19	с одной стороны	1	2
20	тех или иных	1	1
21	но все же	3	1
22	и не требует	1	1
23	все более и	1	1
24	уже не может	1	1
25	то время как	3	1
26	бы они ни	1	1
27	более или менее	2	1
28	друг к другу	2	1
29	во всяком случае	2	1
30	самом деле в	1	1
31	и таким образом	2	1
32	в то время	3	1
33	хотя бы только	1	1
34	сих пор не	1	1
35	если же он	1	1
36	является то что	1	1
37	таким образом мы	5	1
38	ни в коем	1	1
39	на этом основании	1	1
40	и независимо от	1	1
41	о том что	1	1
42	в этом отношении	1	1
43	с самого начала	1	1
44	совершенно ясно что	1	1
45	более и более	1	1
46	подобно тому как	5	1
47	мы имеем в	1	1
48	в противном случае	1	1
49	они ни были	1	1
50	хотя и здесь	1	1
51	в коем случае	1	1
52	хотя бы отдаленно	1	1
53	к нему в	1	1
54	как и в	2	1
55	далеко не всегда	1	1
56	с другими формами	1	1
57	мы увидим что	1	1
58	в высшей степени	1	1
